"source","translation_en_US"
"217 BC: Hannibal drew Gaius Flaminius along the narrow northern shore of Lake Trasimene and attacked from concealed high ground in morning mist. The Roman marching column had little room to deploy and Flaminius was killed.","217 BC: Hannibal drew Gaius Flaminius along the narrow northern shore of Lake Trasimene and attacked from concealed high ground in morning mist. The Roman marching column had little room to deploy and Flaminius was killed."
"218 BC: Hannibal crossed the Alps with a multinational army, cavalry, baggage train, and surviving elephants. Ancient sources disagree on the route; this scenario combines contested passes and local attacks into one dark-fantasy ascent.","218 BC: Hannibal crossed the Alps with a multinational army, cavalry, baggage train, and surviving elephants. Ancient sources disagree on the route; this scenario combines contested passes and local attacks into one dark-fantasy ascent."
"218 BC: Hannibal crossed the Rhône upstream from its mouth using boats, rafts, and a detached force sent across to turn local opposition. Scipio arrived too late; this altered history places Roman advance camps on the far-bank road to create the opening Carthage-versus-Rome engagement.","218 BC: Hannibal crossed the Rhône upstream from its mouth using boats, rafts, and a detached force sent across to turn local opposition. Scipio arrived too late; this altered history places Roman advance camps on the far-bank road to create the opening Carthage-versus-Rome engagement."
"218 BC: the Ticinus was primarily a cavalry engagement between reconnaissance forces. Roman consul Publius Cornelius Scipio was wounded and rescued during the retreat; the camp assault is a plausible dark-fantasy extension of that pursuit.","218 BC: the Ticinus was primarily a cavalry engagement between reconnaissance forces. Roman consul Publius Cornelius Scipio was wounded and rescued during the retreat; the camp assault is a plausible dark-fantasy extension of that pursuit."
"A broad river operation with ferries, wooded detours, bridgeheads, and fortified supply quarters; the Iron Sepulcher occupies an avoidable ruin on the southern flank.","A broad river operation with ferries, wooded detours, bridgeheads, and fortified supply quarters; the Iron Sepulcher occupies an avoidable ruin on the southern flank."
"A camp, and nobody left standing in it. Get up. There is no shame in it. The shame would be in doing it a second time in the same valley.","A camp, and nobody left standing in it. Get up. There is no shame in it. The shame would be in doing it a second time in the same valley."
"A commander alone cannot defend a city quarter.","A commander alone cannot defend a city quarter."
"A general alone on a dead field is just the last corpse standing.","A general alone on a dead field is just the last corpse standing."
"A new standard in the valley, and nobody under it who has held a spear more than twice. My outpost has orders to go and look at you. Try to still be standing when they arrive; it makes the report worth writing.","A new standard in the valley, and nobody under it who has held a spear more than twice. My outpost has orders to go and look at you. Try to still be standing when they arrive; it makes the report worth writing."
"Africa, then, and the two of us, and no river to stand behind. I have the measure of your elephants and I have your Numidians. Whatever you mean to do, do it where I can see it. I have waited sixteen years to stand in the same field as you.","Africa, then, and the two of us, and no river to stand behind. I have the measure of your elephants and I have your Numidians. Whatever you mean to do, do it where I can see it. I have waited sixteen years to stand in the same field as you."
"After Cannae, Rome refuses the battle Hannibal wants. The Republic instead presses every road, ally, granary, and walled town. Beneath the orchards, Iron Sepulcher graves make even a successful defense feel temporary.","After Cannae, Rome refuses the battle Hannibal wants. The Republic instead presses every road, ally, granary, and walled town. Beneath the orchards, Iron Sepulcher graves make even a successful defense feel temporary."
"Battle of Cannae","Battle of Cannae"
"Battle of Lake Trasimene","Battle of Lake Trasimene"
"Battle of Ticino","Battle of Ticino"
"Battle of Trebia","Battle of Trebia"
"Battle of Zama","Battle of Zama"
"Between assaults, seize the eastern Roman siege camp.","Between assaults, seize the eastern Roman siege camp."
"Break all three Roman assault phases. The quarter holds when the last consular column is dead in the streets.","Break all three Roman assault phases. The quarter holds when the last consular column is dead in the streets."
"Break both Iron Sepulcher attacks. At Zama, the dead no longer remain outside the battle.","Break both Iron Sepulcher attacks. At Zama, the dead no longer remain outside the battle."
"Break three Roman columns before the survivors find the ford again.","Break three Roman columns before the survivors find the ford again."
"Burn every cursed guardian from the sepulcher ruins. Kill what cannot die.","Burn every cursed guardian from the sepulcher ruins. Kill what cannot die."
"Clear the pass before the mountain closes it. Every hour lost is more men fed to the cold.","Clear the pass before the mountain closes it. Every hour lost is more men fed to the cold."
"Cold water and an early start, and my colleague is very pleased with both. He has the men in the river before their porridge. I said what I thought and was overruled, so I shall stand here and watch your ambush do its arithmetic.","Cold water and an early start, and my colleague is very pleased with both. He has the men in the river before their porridge. I said what I thought and was overruled, so I shall stand here and watch your ambush do its arithmetic."
"Cross before the Roman runners reach their garrison. Every second spent waiting feeds the blade.","Cross before the Roman runners reach their garrison. Every second spent waiting feeds the blade."
"Cross the Rhône by one of several prepared routes, sever the eastern supply road, and capture two Roman advance camps before Scipio reaches the river.","Cross the Rhône by one of several prepared routes, sever the eastern supply road, and capture two Roman advance camps before Scipio reaches the river."
"Crossing the Alps","Crossing the Alps"
"Crossing the Rhône","Crossing the Rhône"
"Crush all three Roman camps and seal the iron tomb shut. No escape.","Crush all three Roman camps and seal the iron tomb shut. No escape."
"Crush both Roman breakout columns before they claw through the hillside.","Crush both Roman breakout columns before they claw through the hillside."
"Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry.","Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry."
"December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear.","December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear."
"Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads.","Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads."
"Drive the dead from the shrine. Salt the earth where they stood.","Drive the dead from the shrine. Salt the earth where they stood."
"Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like.","Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like."
"Endure both waves from the depths. Do not flinch when the ground tears open.","Endure both waves from the depths. Do not flinch when the ground tears open."
"Every soldier lost is counted by the enemy tonight.","Every soldier lost is counted by the enemy tonight."
"Execute the encirclement, then seize all three Roman camps before their reserves can restore the line.","Execute the encirclement, then seize all three Roman camps before their reserves can restore the line."
"Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man.","Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man."
"Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead.","Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead."
"Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories.","Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories."
"First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup.","First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup."
"Hannibal falls, and the allied towns abandon the field.","Hannibal falls, and the allied towns abandon the field."
"Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy.","Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy."
"Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision.","Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision."
"Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long.","Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long."
"Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not.","Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not."
"Hold the ruins. Force the Romans to fight on two grounds at once.","Hold the ruins. Force the Romans to fight on two grounds at once."
"Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing.","Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing."
"If the central camp falls, the Campanian alliance dies with it.","If the central camp falls, the Campanian alliance dies with it."
"Iron Sepulcher Watch","Iron Sepulcher Watch"
"It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter.","It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter."
"Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph.","Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph."
"Lose the river camp and the cold takes what the Romans couldn't.","Lose the river camp and the cold takes what the Romans couldn't."
"Lose the supply camp and the army starves before it reaches the snow line.","Lose the supply camp and the army starves before it reaches the snow line."
"Lose your camp and the tempo dies with it.","Lose your camp and the tempo dies with it."
"Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it.","Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it."
"No living formation remains to hold the gates.","No living formation remains to hold the gates."
"Preserve the market and four homes: Campania is being defended for its people and supplies, not merely its walls.","Preserve the market and four homes: Campania is being defended for its people and supplies, not merely its walls."
"Provision the column for the descent: harvest timber, stone and iron from the pass while the mountain tribes contest every switchback.","Provision the column for the descent: harvest timber, stone and iron from the pass while the mountain tribes contest every switchback."
"Raze every Roman post. Leave Scipio nothing to rally behind.","Raze every Roman post. Leave Scipio nothing to rally behind."
"Seal the road. Let no scout cross the Ticino alive.","Seal the road. Let no scout cross the Ticino alive."
"Seize all four Roman camps — the consular line, Masinissa's Numidians, the rear guard, and the northern camp — before the cavalry closes your rear.","Seize all four Roman camps — the consular line, Masinissa's Numidians, the rear guard, and the northern camp — before the cavalry closes your rear."
"Seize both Roman camps. The ambush is not finished until their flags come down.","Seize both Roman camps. The ambush is not finished until their flags come down."
"Seize the two river forts. Leave no crossing for Scipio's army to inherit.","Seize the two river forts. Leave no crossing for Scipio's army to inherit."
"Sixty men and a shrine the local people will not walk past after dark. My orders say investigate. I would sooner burn it and write that we investigated, but the Senate reads.","Sixty men and a shrine the local people will not walk past after dark. My orders say investigate. I would sooner burn it and write that we investigated, but the Senate reads."
"So the centre gave and the wings did not. That was well done, and I say so, and I was inside it. Rome has lost an army and a ring for every knight in it. Rome has not yet lost anything that matters.","So the centre gave and the wings did not. That was well done, and I say so, and I was inside it. Rome has lost an army and a ring for every knight in it. Rome has not yet lost anything that matters."
"So you came down the far side. Fewer, and on foot, and I am told you left the baggage up in the snow along with the men who were carrying it. Italy is waiting. Italy is not empty.","So you came down the far side. Fewer, and on foot, and I am told you left the baggage up in the snow along with the men who were carrying it. Italy is waiting. Italy is not empty."
"So you have come down out of the rocks after all. Fewer than the count they gave me, and greyer. Well. The Ticinus is shallow, the ground beyond it is ours, and I have a great deal of time in which to be wrong about you.","So you have come down out of the rocks after all. Fewer than the count they gave me, and greyer. Well. The Ticinus is shallow, the ground beyond it is ours, and I have a great deal of time in which to be wrong about you."
"So. The Barcid crawls down to the Rhone. Cross where you like - the river is not particular about whose bones it keeps, and Rome has a great deal of patience and a very great many shovels. My surveyors are already pacing out your grave. They tell me the ground here drinks well.","So. The Barcid crawls down to the Rhone. Cross where you like - the river is not particular about whose bones it keeps, and Rome has a great deal of patience and a very great many shovels. My surveyors are already pacing out your grave. They tell me the ground here drinks well."
"Spring the ambush and capture both Roman field camps within twenty minutes, before the mist lifts and a cohort escapes the basin.","Spring the ambush and capture both Roman field camps within twenty minutes, before the mist lifts and a cohort escapes the basin."
"Stand your ground. The last soldier alone is not a force — he is a sacrifice.","Stand your ground. The last soldier alone is not a force — he is a sacrifice."
"Take the bridge camp and the eastern reserve quarter before the Roman scouts vanish into the fog.","Take the bridge camp and the eastern reserve quarter before the Roman scouts vanish into the fog."
"Take the crossings, then. Take the whole cold length of the road north and every stone laid on it. Rome does not lose provinces - she lends them, at interest, and I am told the collectors on this road wear no faces at all.","Take the crossings, then. Take the whole cold length of the road north and every stone laid on it. Rome does not lose provinces - she lends them, at interest, and I am told the collectors on this road wear no faces at all."
"The Campanian Vigil","The Campanian Vigil"
"The Roman column walks into a geographical trap and is destroyed by converging attacks while the lakeside Sepulcher altar remains an optional horror.","The Roman column walks into a geographical trap and is destroyed by converging attacks while the lakeside Sepulcher altar remains an optional horror."
"The Romans are baited into the winter river and punished by Mago's concealed force, then the defense becomes an assault on a complete winter camp.","The Romans are baited into the winter river and punished by Mago's concealed force, then the defense becomes an assault on a complete winter camp."
"The commander falls — and every line collapses behind him.","The commander falls — and every line collapses behind him."
"The commander falls — the vigil ends. And the dead keep walking.","The commander falls — the vigil ends. And the dead keep walking."
"The crossing is a running battle against terrain, local resistance, and Roman influence. Sepulcher grave-lights remain a dangerous side path rather than the campaign's main enemy.","The crossing is a running battle against terrain, local resistance, and Roman influence. Sepulcher grave-lights remain a dangerous side path rather than the campaign's main enemy."
"The final confrontation is Carthage against three coordinated Roman commands, until an Iron Sepulcher host attacks from the battlefield's neglected flank.","The final confrontation is Carthage against three coordinated Roman commands, until an Iron Sepulcher host attacks from the battlefield's neglected flank."
"The lights are out and the ground is quiet. Count them twice and burn what will burn. Whatever was in there stood here before Rome and will stand here after it. Tonight it simply has other business.","The lights are out and the ground is quiet. Count them twice and burn what will burn. Whatever was in there stood here before Rome and will stand here after it. Tonight it simply has other business."
"The mist lifted a little early for you. It happens. The lake will keep what it has been given, and the thing beneath the altar on the shore is not particular about whose it is.","The mist lifted a little early for you. It happens. The lake will keep what it has been given, and the thing beneath the altar on the shore is not particular about whose it is."
"The pass keeps them, then. A word of advice to whoever reads this: do not follow the lights on the snowfield. Whatever carries a lantern at that height stopped being a shepherd a long time ago.","The pass keeps them, then. A word of advice to whoever reads this: do not follow the lights on the snowfield. Whatever carries a lantern at that height stopped being a shepherd a long time ago."
"The river keeps whatever it is given. Your elephants went in and not all of them came out, and the Trebia is not a large river. Rome has never needed a large one.","The river keeps whatever it is given. Your elephants went in and not all of them came out, and the Trebia is not a large river. Rome has never needed a large one."
"The scouts are not coming back, then. Well - everyone begins somewhere, and you have begun by killing eleven men who were expecting their lunch. Rome will send someone who counts next time.","The scouts are not coming back, then. Well - everyone begins somewhere, and you have begun by killing eleven men who were expecting their lunch. Rome will send someone who counts next time."
"Then it holds a little longer. Go home to your Senate and tell them what a Roman looks like from close to. I shall be here in the spring, and the spring after that, and I am younger than you.","Then it holds a little longer. Go home to your Senate and tell them what a Roman looks like from close to. I shall be here in the spring, and the spring after that, and I am younger than you."
"There. No battle, no glory, no monument: a town with nothing left in it and a road with my army standing on it. They will call me the Delayer. Let them. Your dead will not care what I am called.","There. No battle, no glory, no monument: a town with nothing left in it and a road with my army standing on it. They will call me the Delayer. Let them. Your dead will not care what I am called."
"There. Sit down in the mud with the others. They tell me the men who die on this road do not stay where they are put - that they rise about the third watch and go on marching north without their officers. Do continue. You are expected.","There. Sit down in the mud with the others. They tell me the men who die on this road do not stay where they are put - that they rise about the third watch and go on marching north without their officers. Do continue. You are expected."
"There. That is what the river was for. Have your surgeons work quickly, and tell whatever is left of your baggage train that the road home goes back up the mountain.","There. That is what the river was for. Have your surgeons work quickly, and tell whatever is left of your baggage train that the road home goes back up the mountain."
"They are getting up again. Do not look at the faces; you will know some of them. Fall back to the road, keep walking, and do not stop to bury anything. It does not stay buried here.","They are getting up again. Do not look at the faces; you will know some of them. Fall back to the road, keep walking, and do not stop to bury anything. It does not stay buried here."
"They tell me you have taken an army into the Alps in October, with elephants. I have stopped chasing you. The mountain is a more thorough officer than I am and it does not require pay.","They tell me you have taken an army into the Alps in October, with elephants. I have stopped chasing you. The mountain is a more thorough officer than I am and it does not require pay."
"Twenty minutes before the mist lifts. If a cohort clears the basin, Rome learns the shape of the trap.","Twenty minutes before the mist lifts. If a cohort clears the basin, Rome learns the shape of the trap."
"You bent us and we did not break, and that is the only sentence anyone will need. Gather your dead off the Aufidus. The river runs slow here; they will be a long time going by.","You bent us and we did not break, and that is the only sentence anyone will need. Gather your dead off the Aufidus. The river runs slow here; they will be a long time going by."
"You have a walled town, an orchard, and a very great many mouths. I have the roads. I am not going to fight you. I am going to stand between you and every granary in Campania until winter explains my position better than I can.","You have a walled town, an orchard, and a very great many mouths. I have the roads. I am not going to fight you. I am going to stand between you and every granary in Campania until winter explains my position better than I can."
"You have the river town. My congratulations - you now own three hundred mouths, two wells, and a temple whose god has lately been asking after Carthage by name. Feed them. I shall come back in the spring and count what is left.","You have the river town. My congratulations - you now own three hundred mouths, two wells, and a temple whose god has lately been asking after Carthage by name. Feed them. I shall come back in the spring and count what is left."
"You killed a consul. Good. Rome keeps forty more in cupboards in the city, and I promise you the ones still in the cupboards are worse. He will be missed - briefly, and only by his creditors.","You killed a consul. Good. Rome keeps forty more in cupboards in the city, and I promise you the ones still in the cupboards are worse. He will be missed - briefly, and only by his creditors."
"Your camp falls — the field goes with it.","Your camp falls — the field goes with it."
"Your command falls — and the wings fold inward.","Your command falls — and the wings fold inward."
"ASSAULT I: infantry from north and south; cavalry raiders and engineers on the eastern consular road.","ASSAULT I: infantry from north and south; cavalry raiders and engineers on the eastern consular road."
"ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close.","ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close."
"ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute.","ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute."
"Another Roman wave is flanking from the southeast. Rotate quickly.","Another Roman wave is flanking from the southeast. Rotate quickly."
"Counterattack now. Break them while they are split by the river.","Counterattack now. Break them while they are split by the river."
"Final ridge ahead. Break the last camp to open the descent.","Final ridge ahead. Break the last camp to open the descent."
"Fix the Roman center in place. Keep both cavalry wings active.","Fix the Roman center in place. Keep both cavalry wings active."
"Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger.","Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger."
"Hold discipline. Let the Romans commit at the ford.","Hold discipline. Let the Romans commit at the ford."
"Navigate through the maze of hills and valleys. Watch for enemy patrols!","Navigate through the maze of hills and valleys. Watch for enemy patrols!"
"One minute. Spend the reserve; save the camp.","One minute. Spend the reserve; save the camp."
"Roman cavalry is attempting a breakout from the south. Intercept them.","Roman cavalry is attempting a breakout from the south. Intercept them."
"Roman cavalry screens the field. Punch through before reserves arrive.","Roman cavalry screens the field. Punch through before reserves arrive."
"Roman cavalry waves intensify. Collapse one flank before the rear guard arrives.","Roman cavalry waves intensify. Collapse one flank before the rear guard arrives."
"Roman reinforcements are approaching from the eastern road.","Roman reinforcements are approaching from the eastern road."
"Roman reserves are entering from the northern camp. Close the pocket faster.","Roman reserves are entering from the northern camp. Close the pocket faster."
"Roman reserves are moving from the western bank.","Roman reserves are moving from the western bank."
"Scipio extends the line. Keep your center steady and protect elephants from isolation.","Scipio extends the line. Keep your center steady and protect elephants from isolation."
"Second pass defenders are reinforcing. Keep the column moving.","Second pass defenders are reinforcing. Keep the column moving."
"Second-wave Roman cavalry is maneuvering for your rear. Rebalance your flanks.","Second-wave Roman cavalry is maneuvering for your rear. Rebalance your flanks."
"Strike now. Close the western route and split their line.","Strike now. Close the western route and split their line."
"Take the first pass quickly before the next ambush line assembles.","Take the first pass quickly before the next ambush line assembles."
"The Roman column enters the corridor. Wait for full commitment.","The Roman column enters the corridor. Wait for full commitment."
"The Roman villages are heavily defended. Coordinate your attacks!","The Roman villages are heavily defended. Coordinate your attacks!"
"Three Roman columns have entered the consular roads. The first coordinated assault arrives at 17:00.","Three Roman columns have entered the consular roads. The first coordinated assault arrives at 17:00."
"Two bridges cross the Rhône. Choose your path wisely - you may need both routes!","Two bridges cross the Rhône. Choose your path wisely - you may need both routes!"
"A camp is taken by standing in it, not by levelling it. Nine men cannot kill thirty-eight, but they can hold two gate yards long enough to claim them - and a Roman column without its commander stops being a column.","A camp is taken by standing in it, not by levelling it. Nine men cannot kill thirty-eight, but they can hold two gate yards long enough to claim them - and a Roman column without its commander stops being a column."
"A nation stands on its commander. Kill him and the camps go quiet and unclaimed - which, against a twenty-minute clock, is the only version of this battle that finishes in time.","A nation stands on its commander. Kill him and the camps go quiet and unclaimed - which, against a twenty-minute clock, is the only version of this battle that finishes in time."
"An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted.","An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted."
"High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting.","High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting."
"Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome.","Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome."
"Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field.","Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field."
"Masinissa's Numidian horse is entering from the north-eastern road.","Masinissa's Numidian horse is entering from the north-eastern road."
"Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number.","Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number."
"Rear guard deployment detected across the southern wadi. This is the final phase.","Rear guard deployment detected across the southern wadi. This is the final phase."
"Supply is a target - and it cuts both ways. Your market and your homes are what the Romans are actually marching at, and their siege camp keeps its own stockpile within reach of a raid.","Supply is a target - and it cuts both ways. Your market and your homes are what the Romans are actually marching at, and their siege camp keeps its own stockpile within reach of a raid."
"The shrines you have walked past all campaign were never scenery. Zama reads back over every map behind it - and the Sepulcher has no commander to kill, so the one rule that has served you since Trasimene is the one rule that will not work here.","The shrines you have walked past all campaign were never scenery. Zama reads back over every map behind it - and the Sepulcher has no commander to kill, so the one rule that has served you since Trasimene is the one rule that will not work here."
"Timber only counts once a builder unloads it at the camp. The richest stands are the furthest from the stockpile, so the mission is won on the length of the walk, not the swing of the axe.","Timber only counts once a builder unloads it at the camp. The richest stands are the furthest from the stockpile, so the mission is won on the length of the walk, not the swing of the axe."
"A guided first field, paced by the player rather than the clock: the Roman raid waits until the recruit's army stands, and the enemy camp is small enough to fall to a first attack.","A guided first field, paced by the player rather than the clock: the Roman raid waits until the recruit's army stands, and the enemy camp is small enough to fall to a first attack."
"Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together.","Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together."
"Field Training","Field Training"
"Kill the Roman commander and take the outpost. A nation dies with the man who leads it.","Kill the Roman commander and take the outpost. A nation dies with the man who leads it."
"Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp.","Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp."
"Your commander falls - and every line collapses behind him.","Your commander falls - and every line collapses behind him."
"A camp is taken by holding its yard, not by levelling it.","A camp is taken by holding its yard, not by levelling it."
"A column without its commander stops being a column.","A column without its commander stops being a column."
"Break the chiefs contesting the descent.","Break the chiefs contesting the descent."
"Break the consular line at its centre.","Break the consular line at its centre."
"Break the siege camp once the assaults are spent.","Break the siege camp once the assaults are spent."
"Break the three assault phases","Break the three assault phases"
"Break the three crossings","Break the three crossings"
"Bring the column to the first pass","Bring the column to the first pass"
"Bring the column to the pontoon bridge on the near bank.","Bring the column to the pontoon bridge on the near bank."
"Cavalry reaches it first; hold the yard until the standard changes.","Cavalry reaches it first; hold the yard until the standard changes."
"Close the encirclement on the Aufidus camp to the north.","Close the encirclement on the Aufidus camp to the north."
"Close the trap on the column town","Close the trap on the column town"
"Cut the stores for the road","Cut the stores for the road"
"End the war with the men who lead it.","End the war with the men who lead it."
"Enemy camps fall neutral once their commander is dead.","Enemy camps fall neutral once their commander is dead."
"Finish the consular officers on the field.","Finish the consular officers on the field."
"Finish the officers inside the ring.","Finish the officers inside the ring."
"Flaminius must not leave the shore.","Flaminius must not leave the shore."
"Follow the valley floor east; the mountain peoples hold the switchbacks above.","Follow the valley floor east; the mountain peoples hold the switchbacks above."
"Hold the Punic quarter through every consular column.","Hold the Punic quarter through every consular column."
"Hold the gate yard of Scipio's forward town.","Hold the gate yard of Scipio's forward town."
"Hold the southern bank through every Roman assault phase.","Hold the southern bank through every Roman assault phase."
"It is the closest camp to your hill; take it before the wings close.","It is the closest camp to your hill; take it before the wings close."
"It is the closest of the four camps to your line.","It is the closest of the four camps to your line."
"Kill Sempronius and his officers","Kill Sempronius and his officers"
"Kill the Roman commanders","Kill the Roman commanders"
"Kill the consular commanders","Kill the consular commanders"
"Kill the mountain commanders","Kill the mountain commanders"
"Move the army up to the lower pass camp before the snow closes it.","Move the army up to the lower pass camp before the snow closes it."
"Nothing on the shore road survives once both ends are held.","Nothing on the shore road survives once both ends are held."
"Reach the Rhone crossing","Reach the Rhone crossing"
"Ride down the commanders once the crossings break.","Ride down the commanders once the crossings break."
"Scipio inherits any crossing you leave behind.","Scipio inherits any crossing you leave behind."
"Seize Masinissa's camp to finish the four.","Seize Masinissa's camp to finish the four."
"Seize Varro's town at the centre of the Roman line.","Seize Varro's town at the centre of the Roman line."
"Seize the Roman hill fort","Seize the Roman hill fort"
"Seize the camp guarding Scipio's rear.","Seize the camp guarding Scipio's rear."
"Seize the river town","Seize the river town"
"Seize the second Roman camp on the north-east road.","Seize the second Roman camp on the north-east road."
"Seize the second camp at the eastern end of the lake.","Seize the second camp at the eastern end of the lake."
"Sempronius spends his army on the ice; you only have to still be standing.","Sempronius spends his army on the ice; you only have to still be standing."
"Set builders on the slopes; the pass is paid for in materials, not blood.","Set builders on the slopes; the pass is paid for in materials, not blood."
"Stand in the gate yard of the northern advance camp until it falls to Carthage.","Stand in the gate yard of the northern advance camp until it falls to Carthage."
"Take Scipio's town","Take Scipio's town"
"Take the Numidian camp","Take the Numidian camp"
"Take the Roman marching town at the head of the lakeside road.","Take the Roman marching town at the head of the lakeside road."
"Take the allied camp","Take the allied camp"
"Take the consular town","Take the consular town"
"Take the northern camp","Take the northern camp"
"Take the rearguard camp","Take the rearguard camp"
"Take the reserve camp","Take the reserve camp"
"Take the river camp","Take the river camp"
"Take the second camp on the southern supply road.","Take the second camp on the southern supply road."
"Take the shore camp","Take the shore camp"
"Taking the rear first denies the cavalry a place to rally.","Taking the rear first denies the cavalry a place to rally."
"The centre gives way once the wings are wrapped around it.","The centre gives way once the wings are wrapped around it."
"The centre is the strongest camp; bring the elephants up first.","The centre is the strongest camp; bring the elephants up first."
"The dead of the Iron Sepulcher still contest the field; keep a reserve.","The dead of the Iron Sepulcher still contest the field; keep a reserve."
"The last camp lies to the north-east, beyond the consular line.","The last camp lies to the north-east, beyond the consular line."
"The quarter holds when the last column is dead in the streets.","The quarter holds when the last column is dead in the streets."
"The reserve feeds the consular line; cut it and the line thins.","The reserve feeds the consular line; cut it and the line thins."
