"source","translation_tr_TR"
"Four camps on a dry Iberian hillside. No river runs here - the terraces are the map. Each camp looks out through a horned terrace wall with a gate at either horn, and the old press mound in the middle is high ground four worn tracks climb.","Kurak bir İberya yamacında dört kamp. Burada nehir akmaz - haritayı taraçalar oluşturur. Her kamp, iki ucunda birer kapı bulunan boynuzlu bir taraça duvarından dışarı bakar ve ortadaki eski cendere höyüğü, dört aşınmış patikanın tırmandığı yüksek zemindir."
"Frostmere Basin","Buzlugöl Çanağı"
"Iron Sepulcher Watch","Demir Kabir Nöbeti"
"Pinewater Cut","Çampınar Kesimi"
"Sallow Ford","Solgun Geçit"
"Six camps in a banded rock desert. Three races cross at the middle and cut the ground into six wedges, so every neighbour is two crossings away: one under the junction knaps, one out at the rim stacks. A mesa lies across each wedge, and the lane past it is where the sector is won.","Katmanlı kayalık bir çölde altı kamp. Üç dere ortada kesişir ve zemini altı dilime böler, böylece her komşu iki geçit uzağındadır: biri kavşak çakıllarının altında, biri kenar yığınlarının dışında. Her dilimin karşısında bir mesa uzanır ve bölge, onun yanındaki koridorda kazanılır."
"Small authored scenario that demonstrates ruins, a shrine, and undead awakening zones.","Harabeleri, bir mabedi ve ölülerin uyanış bölgelerini gösteren küçük, elle yazılmış senaryo."
"Sunbaked Terraces","Güneş Kavurmuş Taraçalar"
"The Two Fords","İki Geçit"
"Three camps a side along one broad channel. The Amber runs the whole map and only three ferry crossings span it, so a bank is a front line: the highway behind each bank links its three camps, and every attack has to buy a bridge first.","Tek geniş bir kanal boyunca her tarafta üç kamp. Kehribar haritanın tamamı boyunca akar ve onu yalnızca üç sal geçidi aşar, bu yüzden bir kıyı cephe hattıdır: her kıyının gerisindeki ana yol o kıyının üç kampını birbirine bağlar ve her saldırı önce bir köprü satın almak zorundadır."
"Training Meadow","Talim Çayırı"
"Crossing the Rhone","Rhône Geçişi"
"CPU %1","CPU %1"
"This battlefield has fewer than two slots to observe","Bu savaş alanında izlenecek ikiden az yuva var"
"Campaign manager not initialized","Sefer yöneticisi hazırlanmadı"
"Failed to load mission","Görev yüklenemedi"
"Failed to load mission preview: %1","Görev önizlemesi yüklenemedi: %1"
"Rhône","Rhône"
"The Alps","Alpler"
"N. Italy","K. İtalya"
"Trasimene","Trasimene"
"Cannae","Cannae"
"Campania","Campania"
"S. Italy","G. İtalya"
"Zama","Zama"
"Mission Region","Görev Bölgesi"
"Rome","Roma"
"Carthage","Kartaca"
"Neutral","Tarafsız"
"Loading map…","Harita yükleniyor…"
"Tilt -","Eğim -"
"Tilt +","Eğim +"
"Reset view","Görüşü sıfırla"
"Control:","Denetim:"
"Legend","Açıklama"
"Arrows pan  ·  Drag to rotate  ·  Scroll or +/- to zoom  ·  Home resets","Oklar kaydırır  ·  Döndürmek için sürükle  ·  Yakınlaştırmak için tekerlek ya da +/-  ·  Home sıfırlar"
"FINAL MINUTE","SON DAKİKA"
"CLOSING WINDOW","PENCERE KAPANIYOR"
"MISSION CLOCK","GÖREV SAATİ"
"Time left: %1","Kalan süre: %1"
"TIME LEFT","KALAN SÜRE"
"Suffete Command","Sufet Komutası"
"Consular Command","Konsül Komutası"
"Carthaginian High Command","Kartaca Başkomutanlığı"
"Roman High Command","Roma Başkomutanlığı"
"its shortcut","kısayolu"
"Apulian river plain","Apulia nehir ovası"
"Campanian plain","Campania ovası"
"Lakeside hill country","Göl kıyısı tepelik arazi"
"Mountain","Dağ"
"North African plain","Kuzey Afrika ovası"
"Po valley river plain","Po vadisi nehir ovası"
"River valley","Nehir vadisi"
"Winter river plain","Kış nehir ovası"
"Unknown","Bilinmiyor"
"Sealed","Mühürlü"
"In Progress","Sürüyor"
"Rewards: Sealed until prior victories","Ödüller: Önceki zaferlere kadar mühürlü"
"Rewards: Laurels Inscribed • Veteran Honors Claimed","Ödüller: Defne Yazıtı • Kıdemli Onurları Alındı"
"Rewards: Bronze Standard • Veteran Cohort","Ödüller: Tunç Sancak • Kıdemli Kohort"
"Dispatch:","Emir:"
"Campaign Objectives (complete all):","Sefer Hedefleri (hepsini tamamla):"
"Campaign Objectives (complete any):","Sefer Hedefleri (herhangi birini tamamla):"
"Campaign Objectives:","Sefer Hedefleri:"
"Complete mission objective","Görev hedefini tamamla"
"Optional:","İsteğe bağlı:"
"Complete optional objective","İsteğe bağlı hedefi tamamla"
"Failure:","Başarısızlık:"
"Avoid mission failure","Görev başarısızlığından kaçın"
"• Complete the mission successfully","• Görevi başarıyla tamamla"
"Army Composition:","Ordu Bileşimi:"
"Historical Ledger:","Tarihsel Kayıt:"
"Casualties Forecast:","Kayıp Öngörüsü:"
"Tactical Rating:","Taktik Değerlendirme:"
"Campaign Success:","Sefer Başarısı:"
"Opposition Command","Karşı Komuta"
"Field Command Pending","Sahra Komutası Bekleniyor"
"No named commander assigned to this force.","Bu kuvvete adlandırılmış bir komutan atanmadı."
"Orders sealed until prior victories are secured.","Emirler, önceki zaferler güvenceye alınana kadar mühürlü."
"Victory recorded. You may replay this engagement at will.","Zafer kaydedildi. Bu çarpışmayı dilediğin zaman yeniden oynayabilirsin."
"Orders issued. Deploy when ready.","Emirler verildi. Hazır olduğunda yerleş."
"Battle tempo: the speed buttons sit on the top bar beside pause, from %1 up to %2. Press %3 or %4 to change speed without leaving the field.","Savaş temposu: hız düğmeleri üst çubukta duraklatmanın yanında durur, %1'den %2'ye kadar. Meydandan ayrılmadan hızı değiştirmek için %3 ya da %4 tuşuna bas."
"Replay Mission","Görevi Yeniden Oyna"
"Start Mission","Görevi Başlat"
"Complete previous missions to unlock","Kilidi açmak için önceki görevleri tamamla"
"Locked","Kilitli"
"✓ Completed","✓ Tamamlandı"
"✓ Archived","✓ Arşivlendi"
"Sealed","Mühürlü"
"Open Order","Emri Aç"
"Difficulty:","Zorluk:"
"Player %1","Oyuncu %1"
"AI Player %1","YZ Oyuncusu %1"
"east","doğu"
"west","batı"
"south","güney"
"north","kuzey"
"southeast","güneydoğu"
"northeast","kuzeydoğu"
"southwest","güneybatı"
"northwest","kuzeybatı"
"Enemy","Düşman"
"Wave %1/%2 forming to the %3: %4, roughly %5 troops. Brace.","%3 yönünde %1/%2 dalgası toplanıyor: %4, kabaca %5 birlik. Hazır ol."
"Wave %1/%2 broken. The line holds.","%1/%2 dalgası kırıldı. Hat tutuyor."
"All %1 assault phases broken. Nothing else is coming.","%1 taarruz evresinin hepsi kırıldı. Başka bir şey gelmiyor."
"AI Wave %1","YZ Dalgası %1"
"Assault phase %1/%2: %3 from the %4 (%5 units)","Taarruz evresi %1/%2: %4 yönünden %3 (%5 birim)"
"The assault is broken. Nothing else is coming.","Saldırı kırıldı. Başka bir şey gelmiyor."
"202 BC: Scipio arranged lanes through his infantry to blunt Hannibal's elephants, while Masinissa and Laelius commanded superior allied cavalry. The returning cavalry helped decide the battle. The Sepulcher intervention is the campaign's deliberate dark-fantasy break from history.","MÖ 202: Scipio, Hannibal'ın fillerini etkisizleştirmek için piyadesinin arasında koridorlar açtı; Masinissa ile Laelius ise üstün müttefik süvarisini yönetti. Geri dönen süvari savaşın kaderini belirledi. Kabir'in müdahalesi, seferin tarihten bilinçli olarak kopan kara fantezi hamlesidir."
"215-212 BC: Hannibal campaigned across Campania while Capua served as his principal Italian ally and winter base. This dark-fantasy composite condenses several Roman attempts to contain and isolate the Carthaginian army.","MÖ 215-212: Capua onun başlıca İtalyan müttefiki ve kışlık üssü olarak iş görürken Hannibal Campania boyunca sefer yürüttü. Bu kara fantezi bileşimi, Roma'nın Kartaca ordusunu çevreleme ve yalıtma girişimlerinden birkaçını tek bir görevde yoğunlaştırır."
"216 BC: beside the Aufidus, Hannibal's deliberately yielding center drew a much larger Roman infantry mass forward while African infantry attacked its flanks and Carthaginian cavalry closed the rear. Two Roman camps supported the army.","MÖ 216: Aufidus kıyısında Hannibal'ın bilerek geri verdiği merkez, çok daha büyük bir Roma piyade kütlesini öne çekerken Afrikalı piyade kanatlarına saldırdı ve Kartaca süvarisi arkasını kapattı. Orduyu iki Roma kampı destekliyordu."
"217 BC: Hannibal drew Gaius Flaminius along the narrow northern shore of Lake Trasimene and attacked from concealed high ground in morning mist. The Roman marching column had little room to deploy and Flaminius was killed.","MÖ 217: Hannibal, Gaius Flaminius'u Trasimene Gölü'nün dar kuzey kıyısı boyunca çekti ve sabah sisinde gizlenmiş yüksek zeminden saldırdı. Roma yürüyüş kolunun yerleşecek yeri neredeyse yoktu ve Flaminius öldürüldü."
"218 BC: Hannibal crossed the Alps with a multinational army, cavalry, baggage train, and surviving elephants. Ancient sources disagree on the route; this scenario combines contested passes and local attacks into one dark-fantasy ascent.","MÖ 218: Hannibal Alpler'i çok uluslu bir orduyla, süvariyle, ağırlık katarıyla ve sağ kalan filleriyle aştı. Antik kaynaklar güzergâh konusunda anlaşamaz; bu senaryo çekişmeli geçitleri ve yerel saldırıları tek bir kara fantezi tırmanışında birleştirir."
"218 BC: Hannibal crossed the Rhône upstream from its mouth using boats, rafts, and a detached force sent across to turn local opposition. Scipio arrived too late; this altered history places Roman advance camps on the far-bank road to create the opening Carthage-versus-Rome engagement.","MÖ 218: Hannibal Rhône'u ağzından yukarıda kayıklar, sallar ve yerel direnci arkadan çevirmek için karşıya geçirilen ayrı bir kuvvetle aştı. Scipio çok geç geldi; bu değiştirilmiş tarih, açılış Kartaca-Roma çarpışmasını yaratmak için karşı kıyı yoluna Roma ileri kampları yerleştirir."
"218 BC: the Ticinus was primarily a cavalry engagement between reconnaissance forces. Roman consul Publius Cornelius Scipio was wounded and rescued during the retreat; the camp assault is a plausible dark-fantasy extension of that pursuit.","MÖ 218: Ticinus esas olarak keşif kuvvetleri arasında bir süvari çarpışmasıydı. Roma konsülü Publius Cornelius Scipio yaralandı ve çekilme sırasında kurtarıldı; kamp taarruzu bu takibin akla yatkın bir kara fantezi uzantısıdır."
"A broad river operation with ferries, wooded detours, bridgeheads, and fortified supply quarters; the Iron Sepulcher occupies an avoidable ruin on the southern flank.","Sallar, ormanlık dolambaçlar, köprübaşları ve tahkimli ikmal mahalleleriyle geniş bir nehir harekâtı; Demir Kabir güney kanadında kaçınılabilir bir harabeyi tutuyor."
"A camp is taken by holding its yard, not by levelling it.","Bir kamp, yerle bir edilerek değil, avlusu tutularak alınır."
"A camp is taken by standing in it, not by levelling it. Nine men cannot kill thirty-eight, but they can hold two gate yards long enough to claim them - and a Roman column without its commander stops being a column.","Bir kamp, yerle bir edilerek değil, içinde durularak alınır. Dokuz adam otuz sekizini öldüremez, ama iki kapı avlusunu sahiplenecek kadar tutabilir - ve komutansız bir Roma kolu artık kol olmaktan çıkar."
"A camp, and nobody left standing in it. Get up. There is no shame in it. The shame would be in doing it a second time in the same valley.","Bir kamp ve içinde ayakta kalan kimse yok. Kalk. Bunda utanılacak bir şey yok. Utanılacak olan, aynı vadide bunu ikinci kez yapmak olurdu."
"A column without its commander stops being a column.","Komutansız bir kol artık kol değildir."
"A commander alone cannot defend a city quarter.","Bir komutan tek başına bir şehir mahallesini savunamaz."
"A general alone on a dead field is just the last corpse standing.","Ölü bir meydanda yalnız kalan general, yalnızca ayakta duran son cesettir."
"A guided first field, paced by the player rather than the clock: the Roman raid waits until the recruit's army stands, and the enemy camp is small enough to fall to a first attack.","Saatle değil oyuncuyla ilerleyen, yol gösterilen bir ilk meydan: Roma baskını, acemi komutanın ordusu ayağa kalkana kadar bekler ve düşman kampı ilk saldırıda düşecek kadar küçüktür."
"A nation stands on its commander. Kill him and the camps go quiet and unclaimed - which, against a twenty-minute clock, is the only version of this battle that finishes in time.","Bir ulus komutanının üstünde durur. Onu öldür, kamplar sessizleşir ve sahipsiz kalır - yirmi dakikalık bir saate karşı bu savaşın zamanında biten tek sürümü de budur."
"A new standard in the valley, and nobody under it who has held a spear more than twice. My outpost has orders to go and look at you. Try to still be standing when they arrive; it makes the report worth writing.","Vadide yeni bir sancak ve altında elinde iki kereden fazla mızrak tutmuş kimse yok. Karakolumun sizi görmeye gitme emri var. Vardıklarında hâlâ ayakta olmaya çalışın; raporu yazmaya değsin."
"ASSAULT I: infantry from north and south; cavalry raiders and engineers on the eastern consular road.","TAARRUZ I: kuzeyden ve güneyden piyade; doğudaki konsül yolunda süvari akıncıları ve istihkâmcılar."
"ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close.","TAARRUZ II: Roma boynuzları birbirine karşılık veriyor. Üç yol da kapanmadan yedeği döndür."
"ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute.","TAARRUZ III: kuşatma makineleri ve kıdemli kohortlar. Yirminci dakikaya kadar her kapıyı tut."
"Africa, then, and the two of us, and no river to stand behind. I have the measure of your elephants and I have your Numidians. Whatever you mean to do, do it where I can see it. I have waited sixteen years to stand in the same field as you.","Demek Afrika, ikimiz ve arkasına sığınacak bir nehir yok. Fillerinin ölçüsünü aldım ve Numidyalıların bende. Ne yapmayı düşünüyorsan, görebileceğim bir yerde yap. Seninle aynı meydanda durmayı on altı yıldır bekliyorum."
"After Cannae, Rome refuses the battle Hannibal wants. The Republic instead presses every road, ally, granary, and walled town. Beneath the orchards, Iron Sepulcher graves make even a successful defense feel temporary.","Cannae'den sonra Roma, Hannibal'ın istediği savaşı reddeder. Cumhuriyet bunun yerine her yola, müttefike, tahıl ambarına ve surlu kasabaya yüklenir. Meyve bahçelerinin altında Demir Kabir mezarları, başarılı bir savunmayı bile geçici hissettirir."
"An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted.","Bir taarruz kampına doğru yürür ama görebildiği her şeye döner. Görünür bir şeyle yemle, istediği zemini değil senin seçtiğin zemini alacaktır."
"Another Roman wave is flanking from the southeast. Rotate quickly.","Bir başka Roma dalgası güneydoğudan kanat yapıyor. Hızla döndür."
"Battle of Cannae","Cannae Muharebesi"
"Battle of Lake Trasimene","Trasimene Gölü Muharebesi"
"Battle of Ticino","Ticino Muharebesi"
"Battle of Trebia","Trebia Muharebesi"
"Battle of Zama","Zama Muharebesi"
"Between assaults, seize the eastern Roman siege camp.","Taarruzlar arasında doğudaki Roma kuşatma kampını ele geçir."
"Break all five columns. The ford is held when the last of them is dead in front of it, and not one column sooner.","Beş kolu da kır. Geçit, sonuncusu da önünde ölü yattığında tutulmuş olur, bir kol öncesinde değil."
"Break all three Roman assault phases. The quarter holds when the last consular column is dead in the streets.","Üç Roma taarruz evresini de kır. Mahalle, son konsül kolu sokaklarda öldüğünde tutulmuş olur."
"Break both Iron Sepulcher attacks. At Zama, the dead no longer remain outside the battle.","Demir Kabir'in iki saldırısını da kır. Zama'da ölüler artık savaşın dışında kalmıyor."
"Break the chiefs contesting the descent.","İnişe itiraz eden reisleri kır."
"Break the consular line at its centre.","Konsül hattını merkezinden kır."
"Break the siege camp once the assaults are spent.","Taarruzlar tükendiğinde kuşatma kampını kır."
"Break the three assault phases","Üç taarruz evresini kır"
"Break the three crossings","Üç geçidi kır"
"Break three Roman columns before the survivors find the ford again.","Sağ kalanlar geçidi yeniden bulmadan üç Roma kolunu kır."
"Bring the column to the first pass","Kolu ilk geçide ulaştır"
"Bring the column to the pontoon bridge on the near bank.","Kolu yakın kıyıdaki dubalı köprüye ulaştır."
"Burn every cursed guardian from the sepulcher ruins. Kill what cannot die.","Kabir harabelerindeki lanetli bekçilerin hepsini yak. Ölemeyeni öldür."
"Cavalry reaches it first; hold the yard until the standard changes.","Oraya önce süvari varır; sancak değişene kadar avluyu tut."
"Clear the pass before the mountain closes it. Every hour lost is more men fed to the cold.","Dağ geçidi kapatmadan önce onu temizle. Yitirilen her saat soğuğa verilen birkaç adam demektir."
"Close the encirclement on the Aufidus camp to the north.","Kuzeydeki Aufidus kampında kuşatmayı kapat."
"Close the trap on the column town","Kol kasabasında tuzağı kapat"
"Cold water and an early start, and my colleague is very pleased with both. He has the men in the river before their porridge. I said what I thought and was overruled, so I shall stand here and watch your ambush do its arithmetic.","Soğuk su ve erken bir başlangıç; meslektaşım ikisinden de pek memnun. Adamları çorbalarını içmeden nehre soktu. Düşündüğümü söyledim ama dinlenmedim, bu yüzden burada durup pusunun hesabını yapmasını izleyeceğim."
"Counterattack now. Break them while they are split by the river.","Şimdi karşı saldırıya geç. Nehir onları bölmüşken kır."
"Cross before the Roman runners reach their garrison. Every second spent waiting feeds the blade.","Roma ulakları garnizonlarına ulaşmadan geç. Beklemeyle geçen her saniye kılıcı besler."
"Cross the Rhône by one of several prepared routes, sever the eastern supply road, and capture two Roman advance camps before Scipio reaches the river.","Rhône'u hazırlanmış birkaç güzergâhtan biriyle aş, doğudaki ikmal yolunu kes ve Scipio nehre varmadan iki Roma ileri kampını ele geçir."
"Crossing the Alps","Alpler'i Geçiş"
"Crossing the Rhône","Rhône'u Geçiş"
"Crush all three Roman camps and seal the iron tomb shut. No escape.","Üç Roma kampını da ez ve demir mezarı mühürle. Kaçış yok."
"Crush both Roman breakout columns before they claw through the hillside.","İki Roma yarma kolunu da yamacı tırmalayarak geçmeden ez."
"Cut the stores for the road","Yol için erzağı kes"
"Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry.","Kızaklar için kereste kes, yol için taş kır ve nal ile dingiller için demir çıkar. Kol, inşaatçılarının taşıyabildiğiyle geçer."
"December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear.","MÖ 218 Aralık: Hannibal, Tiberius Sempronius Longus'u kahvaltıdan önce soğuk Trebia'yı geçmeye kışkırttı. Kartaca piyadesi, süvarisi, filleri ve Mago'nun gizli müfrezesi bitkin Roma ordusuna cepheden, kanatlardan ve arkadan vurdu."
"Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads.","Hannibal'ın tahkimli Campania ikmal kasabasını savun ve ayrı konsül yollarından gelen üç eşgüdümlü Roma taarruzunu da kır."
"Drive the dead from the shrine. Salt the earth where they stood.","Ölüleri mabetten sür. Durdukları toprağa tuz ek."
"Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like.","Seksen bin. Bu sayıyı görmeden duymanı yeğlerim, çünkü görmek neredeyse bütün bir sabah alıyor. Bugün komuta Varro'da ve Varro ileri gitmeye inanır. Nerede istersen orada dur."
"End the war with the men who lead it.","Savaşı, onu yönetenlerle birlikte bitir."
"Endure both waves from the depths. Do not flinch when the ground tears open.","Derinlerden gelen iki dalgaya da dayan. Toprak yarıldığında irkilme."
"Enemy camps fall neutral once their commander is dead.","Düşman kampları komutanları öldüğünde tarafsız kalır."
"Every soldier lost is counted by the enemy tonight.","Yitirilen her asker bu gece düşman tarafından sayılıyor."
"Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together.","Bir ilk maçın istediği her sistem, yeni bir komutanın onlarla karşılaştığı sırayla: seçim ve emirler, ağaçtan avluya kaynak döngüsü, inşa bedeli ve yerleştirme, devşirme ve onu sınırlayan nüfus, duruşlar, komutanın aurası ve toplanması, kamera, hız ve hedefler - sonra hepsini birleştiren küçük bir taarruz."
"Execute the encirclement, then seize all three Roman camps before their reserves can restore the line.","Kuşatmayı uygula, sonra yedekleri hattı onaramadan üç Roma kampını da ele geçir."
"Field Training","Sahra Talimi"
"Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man.","Sığlıkta on beş bin ve kâhinler kutsal tavukların bizi uyardığını söyleyecek. Bir konsül öldür, Roma pazar gününe kalmadan bir yenisini seçer. Bizim hilemiz budur: biz bir adam değiliz."
"Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead.","Afrika'daki son savaş: Scipio'nun hattını körelt, Numidya süvarisine dayan ve ölülerin iki kalkışını da kırarken dört Roma kampını da ele geçir."
"Final ridge ahead. Break the last camp to open the descent.","İleride son sırt. İnişi açmak için son kampı kır."
"Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories.","Pekâlâ. Sempronius sabahını açıklamak için Roma'ya at sürüyor. O sudan yarım lejyon çıkıp yürümeye devam etti ve ilkbaharda kuru ayaklar ve uzun bir hafızayla seninle yeniden karşılaşacaklar."
"Finish the consular officers on the field.","Meydandaki konsül subaylarını bitir."
"Finish the officers inside the ring.","Halkanın içindeki subayları bitir."
"First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup.","İtalyan toprağındaki ilk savaş. Süvari düellosunu kazan, sonra taze takviyeler toparlanmadan Roma yedek kampını ele geçir."
"Five columns and the ford still ours. Count the men twice and do not write the number down until morning; it is always worse in the dark and always worse again in daylight.","Beş kol ve geçit hâlâ bizim. Adamları iki kez say ve sayıyı sabaha kadar yazma; karanlıkta hep daha kötüdür, gün ışığında ise yine daha kötü."
"Fix the Roman center in place. Keep both cavalry wings active.","Roma merkezini yerine çivile. İki süvari kanadını da etkin tut."
"Flaminius must not leave the shore.","Flaminius kıyıdan ayrılmamalı."
"Follow the valley floor east; the mountain peoples hold the switchbacks above.","Vadi tabanını doğuya izle; dağ halkları yukarıdaki virajları tutuyor."
"Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger.","Batıdaki meyve bahçelerinde mezar ışıkları geziyor. Demir Kabir izliyor, ama lejyonlar hâlâ daha büyük tehlike."
"Hannibal falls, and the allied towns abandon the field.","Hannibal düşer ve müttefik kasabalar meydanı terk eder."
"Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy.","Hannibal'ın İtalya'daki ilk zaferi, tempo ve süvari denetimi sınavıdır. Geçit gölgeleri kanatları zorlaştırır ama Roma düşmanının yerini almaz."
"Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision.","Hannibal'ın başyapıtı, tek bir cepheden çarpışma değil, uzun süreli bir harekât savaşına dönüşür."
"High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting.","Yüksek zemin bir okçuyu ikiye katlar ve karşılık verene karşı onu sertleştirir. Roma kampına bakan sırt, aynı dakikalarda devşirebileceğin fazladan bölükten daha değerlidir."
"Hold discipline. Let the Romans commit at the ford.","Disiplini koru. Bırak Romalılar geçitte kendilerini adasın."
"Hold the Punic quarter through every consular column.","Pön mahallesini her konsül koluna karşı tut."
"Hold the Sallow Ford","Solgun Geçidi Tut"
"Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long.","Öyleyse meydanı tut. Atım öldü, oğlum beni kolumdan çekip çıkarıyor ve hâlâ sayabildiğimi görüyorum. Bir geçit kazandın. İtalya dokuz yüz mil uzunluğunda."
"Hold the gate yard of Scipio's forward town.","Scipio'nun ileri kasabasının kapı avlusunu tut."
"Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not.","Nehir hattını tut ve üç Roma geçidini de kır. Sempronius'un yapmayacağı işi soğuk ve su yapsın."
"Hold the ruins. Force the Romans to fight on two grounds at once.","Harabeleri tut. Romalıları aynı anda iki zeminde çarpışmaya zorla."
"Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing.","Güney kıyısını üç geçiş boyunca tut. Sempronius ordusunu buzda harcıyor; senin tek yapman gereken hâlâ ayakta olmak."
"Hold the southern bank through every Roman assault phase.","Güney kıyısını her Roma taarruz evresi boyunca tut."
"If the central camp falls, the Campanian alliance dies with it.","Merkez kamp düşerse Campania ittifakı onunla birlikte ölür."
"Iron Sepulcher Watch","Demir Kabir Nöbeti"
"Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome.","Güneybatı geçidinin altından demir çanlar karşılık veriyor. Kabir yalnızca Roma'ya değil Kartaca'ya da ilerliyor."
"It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter.","Bitti. Kartaca şartları alacak ve şartlar, donanmasının kendi limanında, izleyebileceği bir yerde yakılması olacak. Daha iyi general sendin. Bunun bir önemi kalmadı."
"It is the closest camp to your hill; take it before the wings close.","Tepenle arasındaki en yakın kamp; kanatlar kapanmadan al."
"It is the closest of the four camps to your line.","Dört kamptan hattına en yakın olanı."
"Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph.","Öyleyse Capua sende kalsın. Hasattan sonra döneceğim, ondan sonraki hasattan sonra da. Acelesi olan üç konsül gömdüm. Sabır daha ucuzdur ve zafer alayı gerektirmez."
"Keep both towers standing. Lose one and the lane it watches is yours to walk yourself.","İki kuleyi de ayakta tut. Birini yitirirsen gözettiği koridoru kendin yürümek zorunda kalırsın."
"Kill Sempronius and his officers","Sempronius'u ve subaylarını öldür"
"Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field.","Her düşman komutanını öldür. Bir ulus, kendisini yöneten adamla birlikte ölür: kampları tarafsızlaşır, yapıları yıkılır ve birlikleri meydanı terk eder."
"Kill the Roman commander and take the outpost. A nation dies with the man who leads it.","Roma komutanını öldür ve karakolu al. Bir ulus, kendisini yöneten adamla birlikte ölür."
"Kill the Roman commanders","Roma komutanlarını öldür"
"Kill the consular commanders","Konsül komutanlarını öldür"
"Kill the mountain commanders","Dağ komutanlarını öldür"
"Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp.","Roma seni aramaya gelmeden komuta etmeyi öğren: birlikleri seç ve hareket ettir, bir keşif kolunu püskürt, inşaatçıları kereste, taş ve cevhere koş, bir Ev yükselt, bir ordu devşir, bir Roma baskınını kır ve düşman kampını al."
"Levy filled. Stack it by the road and let the carts argue about it. We cut a wood down to feed a siege that has not started yet — remember that the next time somebody calls this the quiet posting.","Levha tamamlandı. Yolun kenarına yığ, bırak arabalar tartışsın. Daha başlamamış bir kuşatmayı beslemek için bir ormanı kestik — biri buraya sakin görev dediğinde bunu hatırla."
"Lose the redoubt and there is nothing behind it for forty miles.","Tabyayı yitirirsen arkasında kırk mil boyunca hiçbir şey yok."
"Lose the river camp and the cold takes what the Romans couldn't.","Nehir kampını yitirirsen Romalıların alamadığını soğuk alır."
"Lose the supply camp and the army starves before it reaches the snow line.","İkmal kampını yitirirsen ordu kar hattına varmadan açlıktan kırılır."
"Lose your camp and the tempo dies with it.","Kampını yitirirsen tempo da onunla ölür."
"Masinissa's Numidian horse is entering from the north-eastern road.","Masinissa'nın Numidya atlıları kuzeydoğu yolundan giriyor."
"Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it.","Göl yolunda sis. Flaminius bir kolun, bir pusunun kapanabileceğinden daha hızlı ilerlediğini savunuyor ve o bir konsül, demek ki haklı olmalı. Önümüzdeki saatin tadını çıkar. Hesabını yazan ben olacağım."
"Move the army up to the lower pass camp before the snow closes it.","Kar kapatmadan orduyu alt geçit kampına çıkar."
"Navigate through the maze of hills and valleys. Watch for enemy patrols!","Tepeler ve vadiler labirentinde yol bul. Düşman devriyelerine dikkat et!"
"No living formation remains to hold the gates.","Kapıları tutacak canlı bir düzen kalmadı."
