"source","translation_ru_RU"
"Four camps in a snowed-in basin. Two melt races cross at its centre and cut the ground into quarters, so every neighbour is a bridge away: an inner crossing in the open, or a longer one out under the rim ranges. Four corner tarns and four barrow cairns fill the rest.","Четыре лагеря в заснеженной котловине. Два талых потока скрещиваются посередине и режут землю на четверти, так что до любого соседа — через мост: внутренняя переправа на открытом месте или более длинная под кряжами по краю. Остальное занимают четыре угловых озерца и четыре курганные пирамиды."
"Four camps on a dry Iberian hillside. No river runs here - the terraces are the map. Each camp looks out through a horned terrace wall with a gate at either horn, and the old press mound in the middle is high ground four worn tracks climb.","Четыре лагеря на сухом иберийском склоне. Реки здесь нет — картой служат террасы. Каждый лагерь смотрит через рогатую террасную стену с воротами у каждого рога, а старый холм давильни посередине — высота, на которую взбираются четыре натоптанные тропы."
"Frostmere Basin","Мёрзлая Котловина"
"Iron Sepulcher Watch","Стража Железной Гробницы"
"Pinewater Cut","Делянка над Сосновой Водой"
"Sallow Ford","Ивовый Брод"
"Six camps in a banded rock desert. Three races cross at the middle and cut the ground into six wedges, so every neighbour is two crossings away: one under the junction knaps, one out at the rim stacks. A mesa lies across each wedge, and the lane past it is where the sector is won.","Шесть лагерей в полосатой скальной пустыне. Три русла скрещиваются посередине и режут землю на шесть клиньев, так что до любого соседа — две переправы: одна под скальными уступами перекрёстка, другая у столбов по краю. Поперёк каждого клина лежит столовая гора, и участок решается коридором рядом с ней."
"Small authored scenario that demonstrates ruins, a shrine, and undead awakening zones.","Небольшой авторский сценарий, показывающий руины, святилище и зоны пробуждения мёртвых."
"Sunbaked Terraces","Выжженные Террасы"
"The Two Fords","Два Брода"
"Three camps a side along one broad channel. The Amber runs the whole map and only three ferry crossings span it, so a bank is a front line: the highway behind each bank links its three camps, and every attack has to buy a bridge first.","По три лагеря с каждой стороны вдоль одного широкого русла. Янтарная течёт через всю карту, и пересекают её лишь три паромные переправы, так что берег — это линия фронта: тракт за каждым берегом связывает его три лагеря, и любое наступление обязано сперва купить себе переправу."
"Training Meadow","Учебный луг"
"Crossing the Rhone","Переправа через Рону"
"CPU %1","ИИ %1"
"This battlefield has fewer than two slots to observe","На этом поле боя меньше двух мест для наблюдения"
"Campaign manager not initialized","Управляющий кампанией не запущен"
"Failed to load mission","Не удалось загрузить задание"
"Failed to load mission preview: %1","Не удалось загрузить предпросмотр задания: %1"
"Rhône","Родан"
"The Alps","Альпы"
"N. Italy","Сев. Италия"
"Trasimene","Тразимен"
"Cannae","Канны"
"Campania","Кампания"
"S. Italy","Юж. Италия"
"Zama","Зама"
"Mission Region","Область задания"
"Rome","Рим"
"Carthage","Карфаген"
"Neutral","Нейтральный"
"Loading map…","Загрузка карты…"
"Tilt -","Наклон -"
"Tilt +","Наклон +"
"Reset view","Сбросить вид"
"Control:","Под властью:"
"Legend","Условные знаки"
"Arrows pan  ·  Drag to rotate  ·  Scroll or +/- to zoom  ·  Home resets","Стрелки двигают  ·  Тяните, чтобы повернуть  ·  Колесо или +/- приближает  ·  Home сбрасывает"
"FINAL MINUTE","ПОСЛЕДНЯЯ МИНУТА"
"CLOSING WINDOW","ОКНО ЗАКРЫВАЕТСЯ"
"MISSION CLOCK","ЧАСЫ ЗАДАНИЯ"
"Time left: %1","Осталось времени: %1"
"TIME LEFT","ОСТАЛОСЬ ВРЕМЕНИ"
"Suffete Command","Командование суффетов"
"Consular Command","Консульское командование"
"Carthaginian High Command","Верховное командование Карфагена"
"Roman High Command","Верховное командование Рима"
"its shortcut","его сокращение"
"Apulian river plain","Апулийская речная равнина"
"Campanian plain","Кампанская равнина"
"Lakeside hill country","Холмистый край у озера"
"Mountain","Горы"
"North African plain","Североафриканская равнина"
"Po valley river plain","Речная равнина долины По"
"River valley","Речная долина"
"Winter river plain","Зимняя речная равнина"
"Unknown","Неизвестно"
"Sealed","Запечатано"
"In Progress","Идёт"
"Rewards: Sealed until prior victories","Награды: запечатаны до прежних побед"
"Rewards: Laurels Inscribed • Veteran Honors Claimed","Награды: лавры высечены • почести ветеранов получены"
"Rewards: Bronze Standard • Veteran Cohort","Награды: бронзовое знамя • ветеранская когорта"
"Dispatch:","Донесение:"
"Campaign Objectives (complete all):","Задачи кампании (выполнить все):"
"Campaign Objectives (complete any):","Задачи кампании (выполнить любую):"
"Campaign Objectives:","Задачи кампании:"
"Complete mission objective","Выполните задачу задания"
"Optional:","Дополнительно:"
"Complete optional objective","Выполните дополнительную задачу"
"Failure:","Поражение:"
"Avoid mission failure","Не допустите провала задания"
"• Complete the mission successfully","• Успешно завершите задание"
"Army Composition:","Состав армии:"
"Historical Ledger:","Историческая запись:"
"Casualties Forecast:","Ожидаемые потери:"
"Tactical Rating:","Тактическая оценка:"
"Campaign Success:","Успех кампании:"
"Opposition Command","Командование противника"
"Field Command Pending","Полевое командование ещё не назначено"
"No named commander assigned to this force.","Именованный полководец этим силам не назначен."
"Orders sealed until prior victories are secured.","Приказы запечатаны, пока не одержаны прежние победы."
"Victory recorded. You may replay this engagement at will.","Победа записана. Это сражение можно переиграть в любой миг."
"Orders issued. Deploy when ready.","Приказы отданы. Разворачивайтесь, когда будете готовы."
"Battle tempo: the speed buttons sit on the top bar beside pause, from %1 up to %2. Press %3 or %4 to change speed without leaving the field.","Темп боя: кнопки скорости стоят на верхней панели рядом с паузой, от %1 до %2. Нажмите %3 или %4, чтобы сменить темп, не покидая поля."
"Replay Mission","Переиграть задание"
"Start Mission","Начать задание"
"Complete previous missions to unlock","Пройдите предыдущие задания, чтобы открыть"
"Locked","Закрыто"
"✓ Completed","✓ Пройдено"
"✓ Archived","✓ В архиве"
"Sealed","Запечатано"
"Open Order","Открыть приказ"
"Difficulty:","Сложность:"
"Player %1","Игрок %1"
"AI Player %1","Игрок-ИИ %1"
"east","востока"
"west","запада"
"south","юга"
"north","севера"
"southeast","юго-востока"
"northeast","северо-востока"
"southwest","юго-запада"
"northwest","северо-запада"
"Enemy","Враг"
"Wave %1/%2 forming to the %3: %4, roughly %5 troops. Brace.","Волна %1/%2 собирается с %3: %4, примерно %5 отрядов. Держитесь."
"Wave %1/%2 broken. The line holds.","Волна %1/%2 сломлена. Линия держит."
"The assault is broken. Nothing else is coming.","Приступ сломлен. Больше ничего не придёт."
"All %1 assault phases broken. Nothing else is coming.","Все фазы приступа (%1) сломлены. Больше ничего не придёт."
"AI Wave %1","Волна ИИ %1"
"Assault phase %1/%2: %3 from the %4 (%5 units)","Фаза приступа %1/%2: %3 с %4 (отрядов: %5)"
"202 BC: Scipio arranged lanes through his infantry to blunt Hannibal's elephants, while Masinissa and Laelius commanded superior allied cavalry. The returning cavalry helped decide the battle. The Sepulcher intervention is the campaign's deliberate dark-fantasy break from history.","202 г. до н. э.: Сципион устроил в своей пехоте проходы, чтобы притупить слонов Ганнибала, а Масинисса и Лелий вели превосходящую союзную конницу. Вернувшаяся конница помогла решить битву. Вмешательство Гробницы — намеренный тёмно-фэнтезийный отход кампании от истории."
"215-212 BC: Hannibal campaigned across Campania while Capua served as his principal Italian ally and winter base. This dark-fantasy composite condenses several Roman attempts to contain and isolate the Carthaginian army.","215–212 гг. до н. э.: Ганнибал воевал по всей Кампании, а Капуя служила его главным италийским союзником и зимней базой. Эта тёмно-фэнтезийная сводка сжимает несколько римских попыток сдержать и изолировать карфагенскую армию."
"216 BC: beside the Aufidus, Hannibal's deliberately yielding center drew a much larger Roman infantry mass forward while African infantry attacked its flanks and Carthaginian cavalry closed the rear. Two Roman camps supported the army.","216 г. до н. э.: у Ауфида намеренно уступавший центр Ганнибала втянул вперёд куда большую массу римской пехоты, пока африканская пехота била по её флангам, а карфагенская конница замыкала тыл. Армию поддерживали два римских лагеря."
"217 BC: Hannibal drew Gaius Flaminius along the narrow northern shore of Lake Trasimene and attacked from concealed high ground in morning mist. The Roman marching column had little room to deploy and Flaminius was killed.","217 г. до н. э.: Ганнибал заманил Гая Фламиния вдоль узкого северного берега Тразименского озера и ударил со скрытой высоты в утреннем тумане. Римской походной колонне негде было развернуться, и Фламиний погиб."
"218 BC: Hannibal crossed the Alps with a multinational army, cavalry, baggage train, and surviving elephants. Ancient sources disagree on the route; this scenario combines contested passes and local attacks into one dark-fantasy ascent.","218 г. до н. э.: Ганнибал перешёл Альпы с разноплемённой армией, конницей, обозом и уцелевшими слонами. Древние источники расходятся о маршруте; этот сценарий сводит спорные перевалы и местные нападения в одно тёмно-фэнтезийное восхождение."
"218 BC: Hannibal crossed the Rhône upstream from its mouth using boats, rafts, and a detached force sent across to turn local opposition. Scipio arrived too late; this altered history places Roman advance camps on the far-bank road to create the opening Carthage-versus-Rome engagement.","218 г. до н. э.: Ганнибал переправился через Родан выше устья, используя лодки, плоты и отдельный отряд, посланный на тот берег, чтобы обойти местное сопротивление. Сципион прибыл слишком поздно; эта изменённая история ставит римские передовые лагеря на дороге за рекой, создавая первое столкновение Карфагена с Римом."
"218 BC: the Ticinus was primarily a cavalry engagement between reconnaissance forces. Roman consul Publius Cornelius Scipio was wounded and rescued during the retreat; the camp assault is a plausible dark-fantasy extension of that pursuit.","218 г. до н. э.: Тицин был прежде всего конной схваткой разведывательных отрядов. Римский консул Публий Корнелий Сципион был ранен и спасён при отходе; штурм лагеря — правдоподобное тёмно-фэнтезийное продолжение той погони."
"A broad river operation with ferries, wooded detours, bridgeheads, and fortified supply quarters; the Iron Sepulcher occupies an avoidable ruin on the southern flank.","Широкая речная операция с паромами, лесными обходами, плацдармами и укреплёнными кварталами снабжения; Железная Гробница занимает руину на южном фланге, которую можно обойти."
"A camp is taken by holding its yard, not by levelling it.","Лагерь берут, удерживая его двор, а не сравнивая с землёй."
"A camp is taken by standing in it, not by levelling it. Nine men cannot kill thirty-eight, but they can hold two gate yards long enough to claim them - and a Roman column without its commander stops being a column.","Лагерь берут, стоя в нём, а не сравнивая с землёй. Девятеро не убьют тридцать восьмерых, но смогут удержать два надворотных двора достаточно долго, чтобы их занять, — а римская колонна без начальника перестаёт быть колонной."
"A camp, and nobody left standing in it. Get up. There is no shame in it. The shame would be in doing it a second time in the same valley.","Лагерь, и ни одного стоящего в нём. Вставайте. Стыда в этом нет. Стыдно будет сделать это второй раз в той же долине."
"A column without its commander stops being a column.","Колонна без начальника перестаёт быть колонной."
"A commander alone cannot defend a city quarter.","Один полководец городской квартал не удержит."
"A general alone on a dead field is just the last corpse standing.","Полководец один на мёртвом поле — просто последний стоящий труп."
"A guided first field, paced by the player rather than the clock: the Roman raid waits until the recruit's army stands, and the enemy camp is small enough to fall to a first attack.","Первое поле с проводником, в темпе игрока, а не часов: римский набег ждёт, пока армия новобранца встанет, а вражеский лагерь достаточно мал, чтобы пасть с первого удара."
"A nation stands on its commander. Kill him and the camps go quiet and unclaimed - which, against a twenty-minute clock, is the only version of this battle that finishes in time.","Народ держится своим полководцем. Убейте его, и лагеря затихнут и останутся ничьими — что при двадцатиминутных часах есть единственная версия этой битвы, успевающая закончиться."
"A new standard in the valley, and nobody under it who has held a spear more than twice. My outpost has orders to go and look at you. Try to still be standing when they arrive; it makes the report worth writing.","Новое знамя в долине, и под ним ни одного, кто держал копьё больше двух раз. Моей заставе приказано пойти и взглянуть на вас. Постарайтесь ещё стоять, когда они дойдут; тогда отчёт будет стоить того, чтобы его писать."
"ASSAULT I: infantry from north and south; cavalry raiders and engineers on the eastern consular road.","ПРИСТУП I: пехота с севера и юга; конные налётчики и сапёры на восточной консульской дороге."
"ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close.","ПРИСТУП II: римские рога перекликаются друг с другом. Перебросьте резерв, прежде чем закроются все три дороги."
"ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute.","ПРИСТУП III: осадные машины и ветеранские когорты. Держите каждые ворота до двадцатой минуты."
"Africa, then, and the two of us, and no river to stand behind. I have the measure of your elephants and I have your Numidians. Whatever you mean to do, do it where I can see it. I have waited sixteen years to stand in the same field as you.","Значит, Африка, и мы двое, и никакой реки, за которой можно встать. Я измерил твоих слонов, и твои нумидийцы у меня. Что бы ты ни задумал, делай это там, где я увижу. Я шестнадцать лет ждал, чтобы встать с тобой на одном поле."
"After Cannae, Rome refuses the battle Hannibal wants. The Republic instead presses every road, ally, granary, and walled town. Beneath the orchards, Iron Sepulcher graves make even a successful defense feel temporary.","После Канн Рим отказывается от битвы, которой хочет Ганнибал. Вместо этого Республика давит на каждую дорогу, союзника, житницу и обнесённый стеной город. Под садами могилы Железной Гробницы делают даже удачную оборону лишь временной."
"An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted.","Приступ идёт к вашему лагерю, но сворачивает на всё, что видит. Приманите его чем-то заметным, и он займёт ту землю, которую выбрали вы, а не ту, которую хотел."
"Another Roman wave is flanking from the southeast. Rotate quickly.","Ещё одна римская волна обходит с юго-востока. Перебрасывайте быстро."
"Battle of Cannae","Битва при Каннах"
"Battle of Lake Trasimene","Битва при Тразименском озере"
"Battle of Ticino","Битва при Тицине"
"Battle of Trebia","Битва при Требии"
"Battle of Zama","Битва при Заме"
"Between assaults, seize the eastern Roman siege camp.","Между приступами возьмите восточный римский осадный лагерь."
"Break all five columns. The ford is held when the last of them is dead in front of it, and not one column sooner.","Сломите все пять колонн. Брод удержан, когда последняя из них лежит перед ним мёртвой, и ни колонной раньше."
"Break all three Roman assault phases. The quarter holds when the last consular column is dead in the streets.","Сломите все три римские фазы приступа. Квартал держится, когда последняя консульская колонна лежит мёртвой на улицах."
"Break both Iron Sepulcher attacks. At Zama, the dead no longer remain outside the battle.","Сломите оба удара Железной Гробницы. При Заме мёртвые больше не остаются вне битвы."
"Break the chiefs contesting the descent.","Сломите вождей, оспаривающих спуск."
"Break the consular line at its centre.","Проломите консульскую линию в её середине."
"Break the siege camp once the assaults are spent.","Разбейте осадный лагерь, когда приступы иссякнут."
"Break the three assault phases","Сломите три фазы приступа"
"Break the three crossings","Сорвите три переправы"
"Break three Roman columns before the survivors find the ford again.","Сломите три римские колонны, прежде чем уцелевшие снова найдут брод."
"Bring the column to the first pass","Доведите колонну до первого перевала"
"Bring the column to the pontoon bridge on the near bank.","Доведите колонну до понтонного моста на ближнем берегу."
"Burn every cursed guardian from the sepulcher ruins. Kill what cannot die.","Выжгите каждого проклятого стража из руин гробницы. Убейте то, что не может умереть."
"Cavalry reaches it first; hold the yard until the standard changes.","Конница доходит первой; держите двор, пока не сменится знамя."
"Clear the pass before the mountain closes it. Every hour lost is more men fed to the cold.","Расчистите перевал, прежде чем гора его закроет. Каждый потерянный час — ещё люди, скормленные холоду."
"Close the encirclement on the Aufidus camp to the north.","Замкните окружение на лагере у Ауфида к северу."
"Close the trap on the column town","Захлопните ловушку на городе колонны"
"Cold water and an early start, and my colleague is very pleased with both. He has the men in the river before their porridge. I said what I thought and was overruled, so I shall stand here and watch your ambush do its arithmetic.","Холодная вода и ранний подъём, и мой коллега весьма доволен и тем и другим. Люди у него в реке ещё до каши. Я сказал, что думаю, и меня перевесили, так что я постою тут и посмотрю, как ваша засада сводит свою арифметику."
"Counterattack now. Break them while they are split by the river.","Контратакуйте сейчас. Сломите их, пока их разделяет река."
"Cross before the Roman runners reach their garrison. Every second spent waiting feeds the blade.","Переправляйтесь, прежде чем римские гонцы добегут до своего гарнизона. Каждая секунда ожидания кормит клинок."
"Cross the Rhône by one of several prepared routes, sever the eastern supply road, and capture two Roman advance camps before Scipio reaches the river.","Переправьтесь через Родан одним из нескольких подготовленных путей, перережьте восточную дорогу снабжения и возьмите два римских передовых лагеря, прежде чем Сципион выйдет к реке."
"Crossing the Alps","Переход через Альпы"
"Crossing the Rhône","Переправа через Родан"
"Crush all three Roman camps and seal the iron tomb shut. No escape.","Сокрушите все три римских лагеря и запечатайте железную гробницу. Без выхода."
"Crush both Roman breakout columns before they claw through the hillside.","Сокрушите обе прорывающиеся римские колонны, прежде чем они выцарапаются по склону."
"Cut the stores for the road","Заготовьте припасы для дороги"
"Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry.","Нарубите древесины на волокуши, набейте камня на дорогу и выберите железа на подковы и оси. Колонна перейдёт на том, что унесут ваши строители."
"December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear.","Декабрь 218 г. до н. э.: Ганнибал спровоцировал Тиберия Семпрония Лонга перейти холодную Требию до завтрака. Карфагенская пехота, конница, слоны и скрытый отряд Магона ударили по измотанной римской армии с фронта, с флангов и с тыла."
"Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads.","Обороняйте укреплённый кампанский город снабжения Ганнибала и сломите все три согласованных римских приступа, идущих по разным консульским дорогам."
"Drive the dead from the shrine. Salt the earth where they stood.","Изгоните мёртвых из святилища. Засыпьте солью землю, где они стояли."
"Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like.","Восемьдесят тысяч. Пусть лучше ты услышишь это число, чем увидишь, потому что осмотр отнимает половину утра. Сегодня командует Варрон, а Варрон верит в движение вперёд. Становись где хочешь."
"End the war with the men who lead it.","Закончите войну вместе с теми, кто её ведёт."
"Endure both waves from the depths. Do not flinch when the ground tears open.","Переживите обе волны из глубин. Не дрогните, когда земля разверзнется."
"Enemy camps fall neutral once their commander is dead.","Вражеские лагеря становятся ничьими, когда их полководец мёртв."
"Every soldier lost is counted by the enemy tonight.","Каждого потерянного воина враг сегодня же ночью занесёт в счёт."
"Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together.","Все механики, каких требует первый матч, в том порядке, в каком с ними знакомится новый полководец: выделение и приказы, ресурсная петля от дерева до двора, цена и постановка построек, набор и ограничивающее его население, стойки, аура и сбор полководца, камера, темп и задачи — а затем один небольшой приступ, чтобы всё это сложилось."
"Execute the encirclement, then seize all three Roman camps before their reserves can restore the line.","Проведите окружение, а затем займите все три римских лагеря, прежде чем их резервы восстановят линию."
"Field Training","Полевая подготовка"
"Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man.","Пятнадцать тысяч на отмелях, а гадатели скажут, что священные куры нас предупреждали. Убей консула — и Рим изберёт другого к базарному дню. В том и весь наш фокус: мы не один человек."
"Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead.","Последняя битва в Африке: притупите линию Сципиона, переживите нумидийскую конницу и займите все четыре римских лагеря, сломив при этом оба восстания мёртвых."
"Final ridge ahead. Break the last camp to open the descent.","Впереди последний гребень. Разбейте последний лагерь, чтобы открыть спуск."
"Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories.","Ладно. Семпроний едет в Рим объяснять своё утро. Половина легиона вышла из той воды и пошла дальше, и они встретят тебя весной — с сухими ногами и долгой памятью."
"Finish the consular officers on the field.","Добейте консульских командиров на поле."
"Finish the officers inside the ring.","Добейте командиров внутри кольца."
"First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup.","Первый бой на италийской земле. Выиграйте конный поединок, затем возьмите римский резервный лагерь, прежде чем свежие подкрепления перестроятся."
"Five columns and the ford still ours. Count the men twice and do not write the number down until morning; it is always worse in the dark and always worse again in daylight.","Пять колонн, а брод всё ещё наш. Пересчитайте людей дважды и не записывайте число до утра; в темноте всегда выходит хуже, а при свете — ещё хуже."
"Fix the Roman center in place. Keep both cavalry wings active.","Прикуйте римский центр к месту. Держите оба конных крыла в деле."
"Flaminius must not leave the shore.","Фламиний не должен уйти с берега."
"Follow the valley floor east; the mountain peoples hold the switchbacks above.","Идите дном долины на восток; горцы держат серпантины выше."
"Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger.","Могильные огни ходят среди западных садов. Железная Гробница смотрит, но легионы опаснее."
"Hannibal falls, and the allied towns abandon the field.","Ганнибал пал, и союзные города покидают поле."
"Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy.","Первая италийская победа Ганнибала — испытание темпа и власти над конницей. Тени брода усложняют фланги, но римского врага не заменяют."
"Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision.","Шедевр Ганнибала становится затяжной операцией, а не единственным лобовым столкновением."
"High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting.","Высота удваивает лучника и делает его крепче к тому, что стреляет в ответ. Гребень над римским лагерем стоит больше, чем лишний эскадрон, на который ушли бы те же минуты."
"Hold discipline. Let the Romans commit at the ford.","Держите дисциплину. Пусть римляне ввяжутся у брода."
"Hold the Punic quarter through every consular column.","Удержите пунический квартал через каждую консульскую колонну."
"Hold the Sallow Ford","Удержите Ивовый Брод"
"Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long.","Что ж, держи поле. Конь мой мёртв, сын тащит меня с него за руку, и я, оказывается, ещё умею считать. Ты выиграл брод. Италия длиной в девятьсот миль."
"Hold the gate yard of Scipio's forward town.","Удержите надворотный двор передового города Сципиона."
"Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not.","Держите речную линию и сорвите все три римские переправы. Пусть холод и вода сделают работу, которой Семпроний не сделает."
"Hold the ruins. Force the Romans to fight on two grounds at once.","Удержите руины. Заставьте римлян драться на двух землях сразу."
"Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing.","Удержите южный берег через все три переправы. Семпроний тратит армию на льду; вам довольно просто устоять."
"Hold the southern bank through every Roman assault phase.","Удержите южный берег через каждую римскую фазу приступа."
"If the central camp falls, the Campanian alliance dies with it.","Если падёт средний лагерь, вместе с ним умрёт кампанский союз."
"Iron Sepulcher Watch","Стража Железной Гробницы"
"Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome.","Железные колокола отзываются под юго-западной переправой. Гробница идёт и на Карфаген, и на Рим."
"It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter.","Кончено. Карфаген получит условия, и условием будет его флот, сожжённый в его же гавани, чтобы он мог на это смотреть. Ты был лучшим полководцем. Оказалось, это неважно."
"It is the closest camp to your hill; take it before the wings close.","Это ближайший к вашему холму лагерь; возьмите его, прежде чем сомкнутся крылья."
"It is the closest of the four camps to your line.","Это ближайший к вашей линии из четырёх лагерей."
"Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph.","Что ж, оставь себе Капую. Я вернусь после жатвы, а потом после следующей. Я похоронил трёх консулов, которые спешили. Терпение дешевле, и триумфа оно не требует."
"Keep both towers standing. Lose one and the lane it watches is yours to walk yourself.","Удержите обе башни. Потеряете одну — и коридор, за которым она следила, придётся закрывать собой."
"Kill Sempronius and his officers","Убейте Семпрония и его командиров"
"Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field.","Убейте каждого вражеского полководца. Народ умирает вместе с тем, кто его ведёт: его лагеря становятся ничьими, укрепления рушатся, а войска покидают поле."
"Kill the Roman commander and take the outpost. A nation dies with the man who leads it.","Убейте римского полководца и возьмите заставу. Народ умирает вместе с тем, кто его ведёт."
"Kill the Roman commanders","Убейте римских полководцев"
"Kill the consular commanders","Убейте консульских полководцев"
"Kill the mountain commanders","Убейте горных вождей"
"Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp.","Научитесь командовать, пока Рим не отправился вас искать: выделяйте и двигайте отряды, отгоните разведку, поставьте строителей на древесину, камень и руду, возведите Дом, наберите армию, сломите римский набег и возьмите вражеский лагерь."
"Levy filled. Stack it by the road and let the carts argue about it. We cut a wood down to feed a siege that has not started yet — remember that the next time somebody calls this the quiet posting.","Набор выполнен. Сложите это у дороги, и пусть телеги спорят о нём. Мы свели лес, чтобы кормить осаду, которая ещё не началась, — вспомните об этом, когда в следующий раз кто-нибудь назовёт эту службу тихой."
"Lose the redoubt and there is nothing behind it for forty miles.","Потеряете редут — и за ним на сорок миль нет ничего."
"Lose the river camp and the cold takes what the Romans couldn't.","Потеряете речной лагерь — и мороз возьмёт то, чего не смогли римляне."
"Lose the supply camp and the army starves before it reaches the snow line.","Потеряете лагерь снабжения — и армия изголодает раньше, чем дойдёт до линии снега."
"Lose your camp and the tempo dies with it.","Потеряете лагерь — и вместе с ним умрёт темп."
"Masinissa's Numidian horse is entering from the north-eastern road.","Нумидийская конница Масиниссы входит с северо-восточной дороги."
"Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it.","Туман на дороге у озера. Фламиний считает, что колонна движется быстрее, чем успевает сомкнуться засада, а он консул, значит, должен быть прав. Приятного часа. Отчёт о нём буду писать я."
"Move the army up to the lower pass camp before the snow closes it.","Подведите армию к нижнему перевальному лагерю, прежде чем его закроет снег."
"Navigate through the maze of hills and valleys. Watch for enemy patrols!","Пройдите лабиринт холмов и долин. Берегитесь вражеских дозоров!"
"No living formation remains to hold the gates.","Не осталось ни одного живого строя, чтобы держать ворота."
"Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number.","Ничему новому здесь не учат. Гребень, приманка и обезглавливание — всё это вы уже знаете; Канны спрашивают лишь, сумеете ли вы провести три приёма разом против четырёхкратного превосходства."
