"source","translation_pl_PL"
"ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close.","NATARCIE II: rzymskie rogi odpowiadają sobie nawzajem. Przerzuć odwód, zanim zamkną się wszystkie trzy drogi."
"ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute.","NATARCIE III: machiny oblężnicze i kohorty weteranów. Utrzymaj każdą bramę do dwudziestej minuty."
"Africa, then, and the two of us, and no river to stand behind. I have the measure of your elephants and I have your Numidians. Whatever you mean to do, do it where I can see it. I have waited sixteen years to stand in the same field as you.","A więc Afryka, i my dwaj, i żadnej rzeki, za którą można stanąć. Zmierzyłem twoje słonie i mam twoich Numidyjczyków. Cokolwiek zamierzasz, zrób to tam, gdzie to zobaczę. Czekałem szesnaście lat, by stanąć z tobą na jednym polu."
"After Cannae, Rome refuses the battle Hannibal wants. The Republic instead presses every road, ally, granary, and walled town. Beneath the orchards, Iron Sepulcher graves make even a successful defense feel temporary.","Po Kannach Rzym odmawia bitwy, jakiej chce Hannibal. Republika naciska zamiast tego na każdą drogę, sprzymierzeńca, spichlerz i miasto w murach. Pod sadami groby Żelaznego Grobowca sprawiają, że nawet udana obrona wydaje się tymczasowa."
"An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted.","Natarcie idzie ku twojemu obozowi, ale skręca ku wszystkiemu, co zobaczy. Zwab je czymś widocznym, a zajmie grunt, który wybrałeś, zamiast tego, którego chciało."
"Another Roman wave is flanking from the southeast. Rotate quickly.","Kolejna rzymska fala obchodzi od południowego wschodu. Przerzuć siły szybko."
"Battle of Cannae","Bitwa pod Kannami"
"Battle of Lake Trasimene","Bitwa nad Jeziorem Trazymeńskim"
"Battle of Ticino","Bitwa nad Ticinusem"
"Battle of Trebia","Bitwa nad Trebią"
"Battle of Zama","Bitwa pod Zamą"
"Between assaults, seize the eastern Roman siege camp.","Między natarciami zdobądź wschodni rzymski obóz oblężniczy."
"Break all five columns. The ford is held when the last of them is dead in front of it, and not one column sooner.","Złam wszystkie pięć kolumn. Bród jest utrzymany, gdy ostatnia z nich leży przed nim martwa, i ani o kolumnę wcześniej."
"Break all three Roman assault phases. The quarter holds when the last consular column is dead in the streets.","Złam wszystkie trzy rzymskie fazy natarcia. Dzielnica trzyma, gdy ostatnia kolumna konsularna legnie martwa na ulicach."
"Break both Iron Sepulcher attacks. At Zama, the dead no longer remain outside the battle.","Złam oba ataki Żelaznego Grobowca. Pod Zamą umarli nie zostają już poza bitwą."
"Break the chiefs contesting the descent.","Złam wodzów broniących zejścia."
"Break the consular line at its centre.","Przełam linię konsularną w jej środku."
"Break the siege camp once the assaults are spent.","Rozbij obóz oblężniczy, gdy natarcia się wyczerpią."
"Break the three assault phases","Złam trzy fazy natarcia"
"Break the three crossings","Złam trzy przeprawy"
"Break three Roman columns before the survivors find the ford again.","Złam trzy rzymskie kolumny, zanim ocaleni znów znajdą bród."
"Bring the column to the first pass","Doprowadź kolumnę do pierwszej przełęczy"
"Bring the column to the pontoon bridge on the near bank.","Doprowadź kolumnę do mostu pontonowego na bliskim brzegu."
"Burn every cursed guardian from the sepulcher ruins. Kill what cannot die.","Wypal każdego przeklętego strażnika z ruin grobowca. Zabij to, co nie może umrzeć."
"Cavalry reaches it first; hold the yard until the standard changes.","Jazda dociera tam pierwsza; utrzymaj dziedziniec, aż zmieni się sztandar."
"Clear the pass before the mountain closes it. Every hour lost is more men fed to the cold.","Oczyść przełęcz, zanim góra ją zamknie. Każda stracona godzina to kolejni ludzie skarmieni mrozowi."
"Close the encirclement on the Aufidus camp to the north.","Zamknij okrążenie na obozie nad Aufidusem na północy."
"Close the trap on the column town","Zamknij pułapkę na mieście kolumny"
"Cold water and an early start, and my colleague is very pleased with both. He has the men in the river before their porridge. I said what I thought and was overruled, so I shall stand here and watch your ambush do its arithmetic.","Zimna woda i wczesna pobudka, a mój kolega jest zachwycony jednym i drugim. Ma ludzi w rzece, zanim zjedli owsiankę. Powiedziałem, co myślę, i mnie przegłosowano, więc będę tu stał i patrzył, jak twoja zasadzka odrabia swoje rachunki."
"Counterattack now. Break them while they are split by the river.","Kontratakuj teraz. Złam ich, póki rozdziela ich rzeka."
"Cross before the Roman runners reach their garrison. Every second spent waiting feeds the blade.","Przepraw się, zanim rzymscy gońcy dotrą do swojej załogi. Każda sekunda czekania karmi ostrze."
"Cross the Rhône by one of several prepared routes, sever the eastern supply road, and capture two Roman advance camps before Scipio reaches the river.","Przepraw się przez Rodan jedną z kilku przygotowanych tras, przetnij wschodnią drogę zaopatrzeniową i zdobądź dwa rzymskie obozy przednie, zanim Scypion dotrze do rzeki."
"Crossing the Alps","Przejście przez Alpy"
"Crossing the Rhône","Przeprawa przez Rodan"
"Crush all three Roman camps and seal the iron tomb shut. No escape.","Zmiażdż wszystkie trzy obozy rzymskie i zapieczętuj żelazny grobowiec. Bez ucieczki."
"Crush both Roman breakout columns before they claw through the hillside.","Zmiażdż obie rzymskie kolumny przebijające się, zanim wydrapią się przez zbocze."
"Cut and carry home four hundred of timber and two hundred and ten of stone. The near stand will not cover it; the deep pines will.","Zetnij i przywieź do domu czterysta drewna i dwieście dziesięć kamienia. Bliski drzewostan tego nie pokryje; gęste sosny — tak."
"Cut the stores for the road","Wytnij zapasy na drogę"
"Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry.","Zetnij drewno na sanie, rozbij kamień na drogę i wytop żelazo na okucia i osie. Kolumna przejdzie na tym, co udźwigną twoi budowniczowie."
"December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear.","Grudzień 218 p.n.e.: Hannibal sprowokował Tyberiusza Semproniusza Longusa do przejścia zimnej Trebii przed śniadaniem. Piechota kartagińska, jazda, słonie i ukryty oddział Magona uderzyły na wyczerpaną armię rzymską od czoła, ze skrzydeł i z tyłu."
"Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads.","Broń ufortyfikowanego kampańskiego miasta zaopatrzeniowego Hannibala i złam wszystkie trzy zgrane natarcia rzymskie nadchodzące osobnymi drogami konsularnymi."
"Drive the dead from the shrine. Salt the earth where they stood.","Wypędź umarłych ze świątyni. Zasol ziemię tam, gdzie stali."
"Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like.","Osiemdziesiąt tysięcy. Wolę, żebyś tę liczbę usłyszał, niż zobaczył, bo oglądanie jej zajmuje pół poranka. Dziś dowodzi Warron, a Warron wierzy w marsz naprzód. Stań sobie, gdzie chcesz."
"End the war with the men who lead it.","Zakończ wojnę razem z ludźmi, którzy ją prowadzą."
"Endure both waves from the depths. Do not flinch when the ground tears open.","Przetrwaj obie fale z głębin. Nie drgnij, gdy ziemia się rozerwie."
"Enemy camps fall neutral once their commander is dead.","Obozy wroga stają się neutralne, gdy zginie ich dowódca."
"Every soldier lost is counted by the enemy tonight.","Każdy stracony żołnierz zostanie dziś w nocy policzony przez wroga."
"Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together.","Każdy system, jakiego wymaga pierwszy mecz, w kolejności, w jakiej nowy dowódca je poznaje: zaznaczanie i rozkazy, pętla surowcowa od drzewa do składu, koszt i stawianie budowli, rekrutacja i ograniczająca ją ludność, postawy, aura i zbiórka dowódcy, kamera, tempo i cele — a potem jedno małe natarcie, by to wszystko złożyć."
"Execute the encirclement, then seize all three Roman camps before their reserves can restore the line.","Wykonaj okrążenie, a potem zajmij wszystkie trzy obozy rzymskie, zanim ich odwody zdołają odbudować linię."
"Field Training","Szkolenie polowe"
"Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man.","Piętnaście tysięcy na mieliznach, a wróżbici powiedzą, że święte kury nas ostrzegały. Zabij konsula, a Rzym wybierze następnego do dnia targowego. Na tym polega nasza sztuczka: nie jesteśmy jednym człowiekiem."
"Fill the levy out of the Pinewater cut: four hundred of timber and two hundred and ten of stone, cut and carried home before the column comes back through.","Uzupełnij pobór z poręby nad Sosnową Wodą: czterysta drewna i dwieście dziesięć kamienia, zetnij i przywieź do domu, zanim kolumna wróci tędy z powrotem."
"Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead.","Ostatnia bitwa w Afryce: stęp linię Scypiona, przetrwaj jazdę numidyjską i zajmij wszystkie cztery obozy rzymskie, łamiąc przy tym oba powstania umarłych."
"Final ridge ahead. Break the last camp to open the descent.","Ostatni grzbiet przed tobą. Rozbij ostatni obóz, by otworzyć zejście."
"Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories.","Dobrze. Semproniusz jedzie do Rzymu tłumaczyć swój poranek. Pół legionu wyszło z tej wody i szło dalej, i spotkają cię znowu na wiosnę, z suchymi stopami i długą pamięcią."
"Finish the consular officers on the field.","Dobij oficerów konsularnych na polu."
"Finish the officers inside the ring.","Dobij oficerów wewnątrz pierścienia."
"First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup.","Pierwsza bitwa na italskiej ziemi. Wygraj pojedynek jazdy, a potem zajmij rzymski obóz odwodowy, zanim świeże posiłki się przegrupują."
"Five columns and the ford still ours. Count the men twice and do not write the number down until morning; it is always worse in the dark and always worse again in daylight.","Pięć kolumn, a bród wciąż nasz. Przelicz ludzi dwa razy i nie zapisuj liczby do rana; po ciemku zawsze wychodzi gorzej, a przy świetle jeszcze gorzej."
"Fix the Roman center in place. Keep both cavalry wings active.","Przykuj środek rzymski do miejsca. Utrzymaj oba skrzydła jazdy w ruchu."
"Flaminius must not leave the shore.","Flaminiusz nie może opuścić brzegu."
"Follow the valley floor east; the mountain peoples hold the switchbacks above.","Idź dnem doliny na wschód; ludy gór trzymają serpentyny powyżej."
"Four hundred of timber and two hundred of stone, and the near stand was stripped by the last detail. That means the deep pines, which means the long road, which means whatever is living in the deep pines gets a look at us. Split the crew. Escort the far one.","Czterysta drewna i dwieście kamienia, a bliski drzewostan ogołociła poprzednia ekipa. To znaczy gęste sosny, co znaczy długa droga, co znaczy, że to, co żyje w gęstych sosnach, dobrze się nam przyjrzy. Podziel ekipę. Tę dalszą odeskortuj."
"Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger.","Grobowe światła krążą wśród zachodnich sadów. Żelazny Grobowiec patrzy, ale legiony są większym zagrożeniem."
"Hannibal falls, and the allied towns abandon the field.","Hannibal pada, a sprzymierzone miasta opuszczają pole."
"Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy.","Pierwsze italskie zwycięstwo Hannibala to próba tempa i panowania nad jazdą. Cienie brodu komplikują skrzydła, ale nie zastępują rzymskiego wroga."
"Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision.","Arcydzieło Hannibala staje się przedłużoną bitwą operacyjną, a nie pojedynczym zderzeniem czołowym."
"High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting.","Wyżej położony teren podwaja łucznika i utwardza go na to, co strzela w odpowiedzi. Grzbiet nad rzymskim obozem jest wart więcej niż dodatkowy szwadron, na który zeszłyby te same minuty."
"Hold discipline. Let the Romans commit at the ford.","Trzymaj dyscyplinę. Niech Rzymianie zaangażują się przy brodzie."
"Hold the Punic quarter through every consular column.","Utrzymaj dzielnicę punicką przez każdą kolumnę konsularną."
"Hold the Sallow Ford","Utrzymaj Wierzbowy Bród"
"Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long.","Więc trzymaj pole. Mój koń nie żyje, syn ciągnie mnie z niego za ramię, a ja wciąż potrafię liczyć. Wygrałeś bród. Italia ma dziewięćset mil długości."
"Hold the gate yard of Scipio's forward town.","Utrzymaj dziedziniec bramny wysuniętego miasta Scypiona."
"Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not.","Utrzymaj linię rzeki i złam wszystkie trzy przeprawy rzymskie. Niech mróz i woda zrobią robotę, której Semproniusz nie zrobi."
"Hold the ruins. Force the Romans to fight on two grounds at once.","Utrzymaj ruiny. Zmuś Rzymian do walki na dwóch gruntach naraz."
"Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing.","Utrzymaj południowy brzeg przez wszystkie trzy przeprawy. Semproniusz przepuszcza armię na lodzie; tobie wystarczy jeszcze stać."
"Hold the southern bank through every Roman assault phase.","Utrzymaj południowy brzeg przez każdą rzymską fazę natarcia."
"If the central camp falls, the Campanian alliance dies with it.","Jeśli padnie środkowy obóz, razem z nim umiera przymierze kampańskie."
"Iron Sepulcher Watch","Straż Żelaznego Grobowca"
"Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome.","Żelazne dzwony odpowiadają pod południowo-zachodnią przeprawą. Grobowiec nadciąga i na Kartaginę, i na Rzym."
"It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter.","Skończone. Kartagina dostanie warunki, a warunkiem będzie jej flota spalona we własnym porcie, tak by mogła na to patrzeć. Byłeś lepszym wodzem. Okazało się, że to nie ma znaczenia."
"It is the closest camp to your hill; take it before the wings close.","To najbliższy obóz od twojego wzgórza; zdobądź go, zanim zamkną się skrzydła."
"It is the closest of the four camps to your line.","To najbliższy twojej linii z czterech obozów."
"Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph.","A więc zatrzymaj Kapuę. Wrócę po żniwach, a potem po następnych. Pochowałem trzech konsulów, którym się śpieszyło. Cierpliwość jest tańsza i nie wymaga triumfu."
"Keep both towers standing. Lose one and the lane it watches is yours to walk yourself.","Utrzymaj obie wieże. Strać jedną, a korytarz, którego pilnowała, będziesz musiał obchodzić sam."
"Kill Sempronius and his officers","Zabij Semproniusza i jego oficerów"
"Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field.","Zabij każdego dowódcę wroga. Naród umiera wraz z człowiekiem, który go prowadzi: jego obozy stają się neutralne, jego umocnienia padają, a wojska schodzą z pola."
"Kill the Roman commander and take the outpost. A nation dies with the man who leads it.","Zabij rzymskiego dowódcę i zdobądź strażnicę. Naród umiera wraz z człowiekiem, który go prowadzi."
"Kill the Roman commanders","Zabij dowódców rzymskich"
"Kill the consular commanders","Zabij dowódców konsularnych"
"Kill the mountain commanders","Zabij dowódców górskich"
"Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp.","Naucz się dowodzić, zanim Rzym zacznie cię szukać: zaznaczaj i ruszaj oddziałami, odpędź patrol zwiadowczy, poślij budowniczych po drewno, kamień i rudę, postaw Dom, zrekrutuj armię, złam rzymski najazd i zdobądź obóz wroga."
"Leave the axes. Leave the carts. A detail that cannot walk out of its own cut does not get to carry anything.","Zostaw siekiery. Zostaw wozy. Ekipa, która nie potrafi wyjść z własnej poręby, niczego nie poniesie."
"Levy filled. Stack it by the road and let the carts argue about it. We cut a wood down to feed a siege that has not started yet — remember that the next time somebody calls this the quiet posting.","Pobór wypełniony. Ułóż to przy drodze i niech wozy się o to kłócą. Wycięliśmy las, by wykarmić oblężenie, które jeszcze się nie zaczęło — pamiętaj o tym, gdy ktoś następnym razem nazwie tę służbę spokojną."
"Lose the redoubt and there is nothing behind it for forty miles.","Strać redutę, a za nią przez czterdzieści mil nie ma nic."
"Lose the river camp and the cold takes what the Romans couldn't.","Strać obóz nad rzeką, a mróz zabierze to, czego nie zdołali Rzymianie."
"Lose the supply camp and the army starves before it reaches the snow line.","Strać obóz zaopatrzeniowy, a armia zagłodzi się, zanim dojdzie do linii śniegu."
"Lose your camp and the tempo dies with it.","Strać obóz, a razem z nim umiera tempo."
"Masinissa's Numidian horse is entering from the north-eastern road.","Numidyjska jazda Masynissy wchodzi od drogi północno-wschodniej."
"Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it.","Mgła na drodze nad jeziorem. Flaminiusz twierdzi, że kolumna porusza się szybciej, niż zasadzka zdoła się zamknąć, a jest konsulem, więc musi mieć rację. Baw się dobrze przez najbliższą godzinę. To ja będę pisał o niej relację."
"Move the army up to the lower pass camp before the snow closes it.","Podprowadź armię do niższego obozu na przełęczy, zanim zamknie ją śnieg."
"Navigate through the maze of hills and valleys. Watch for enemy patrols!","Przejdź przez labirynt wzgórz i dolin. Uważaj na patrole wroga!"
"No living formation remains to hold the gates.","Nie został żaden żywy szyk, który utrzymałby bramy."
"Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number.","Niczego nowego się tu nie uczy. Grzbiet, przynęta i ścięcie dowództwa to rzeczy, które już znasz; Kanny pytają tylko, czy potrafisz przeprowadzić trzy naraz przeciw czterokrotnej przewadze."
"Nothing on the shore road survives once both ends are held.","Nic na nadbrzeżnej drodze nie przeżyje, gdy oba jej końce są w twoich rękach."
"One minute. Spend the reserve; save the camp.","Jedna minuta. Wydaj odwód; ocal obóz."
"One officer, no line. The next column will not even slow down.","Jeden oficer, żadnej linii. Następna kolumna nawet nie zwolni."
"One redoubt, two mouths, five columns. Break every assault that comes down the cart gate and the goat path, and still be standing when the fifth is spent.","Jedna reduta, dwa wyloty, pięć kolumn. Złam każde natarcie schodzące bramą dla wozów i kozią ścieżką i wciąż stój, gdy piąte się wyczerpie."
"Overcut the levy. A surplus is the only thing a quartermaster has ever thanked anyone for.","Wytnij ponad pobór. Nadmiar to jedyna rzecz, za jaką kwatermistrz kiedykolwiek komuś podziękował."
"Preserve the market and four homes: Campania is being defended for its people and supplies, not merely its walls.","Ocal targ i cztery domy: Kampanii broni się dla jej ludzi i zapasów, nie tylko dla murów."
"Provision the column for the descent: harvest timber, stone and iron from the pass while the mountain tribes contest every switchback.","Zaopatrz kolumnę na zejście: pozyskaj z przełęczy drewno, kamień i żelazo, gdy górskie plemiona bronią każdego zakrętu."
"Raze every Roman post. Leave Scipio nothing to rally behind.","Zrównaj z ziemią każdy posterunek rzymski. Nie zostaw Scypionowi niczego, wokół czego mógłby się zebrać."
"Reach the Rhone crossing","Dotrzyj do przeprawy na Rodanie"
"Rear guard deployment detected across the southern wadi. This is the final phase.","Wykryto rozwinięcie straży tylnej po drugiej stronie południowego wadi. To ostatnia faza."
"Ride down the commanders once the crossings break.","Stratuj dowódców, gdy przeprawy się załamią."
"Roman cavalry is attempting a breakout from the south. Intercept them.","Jazda rzymska próbuje przebić się od południa. Przechwyć ją."
"Roman cavalry screens the field. Punch through before reserves arrive.","Jazda rzymska osłania pole. Przebij się, zanim nadejdą odwody."
"Roman cavalry waves intensify. Collapse one flank before the rear guard arrives.","Fale jazdy rzymskiej się nasilają. Zawal jedno skrzydło, zanim przybędzie straż tylna."
"Roman reinforcements are approaching from the eastern road.","Posiłki rzymskie zbliżają się drogą od wschodu."
"Roman reserves are entering from the northern camp. Close the pocket faster.","Odwody rzymskie wchodzą z obozu północnego. Zamykaj kocioł szybciej."
"Roman reserves are moving from the western bank.","Odwody rzymskie ruszają z zachodniego brzegu."
"Scipio extends the line. Keep your center steady and protect elephants from isolation.","Scypion rozciąga linię. Trzymaj środek pewnie i nie daj słoniom zostać samym."
"Scipio inherits any crossing you leave behind.","Scypion odziedziczy każdą przeprawę, którą zostawisz."
"Seal the road. Let no scout cross the Ticino alive.","Zapieczętuj drogę. Niech żaden zwiadowca nie przejdzie Ticinusa żywy."
"Second pass defenders are reinforcing. Keep the column moving.","Obrońcy drugiej przełęczy dostają wsparcie. Nie zatrzymuj kolumny."
"Second-wave Roman cavalry is maneuvering for your rear. Rebalance your flanks.","Jazda rzymska drugiej fali manewruje na twoje tyły. Wyrównaj skrzydła."
"Seize Masinissa's camp to finish the four.","Zajmij obóz Masynissy, by dopełnić czwórkę."
"Seize Varro's town at the centre of the Roman line.","Zajmij miasto Warrona w środku linii rzymskiej."
"Seize all four Roman camps — the consular line, Masinissa's Numidians, the rear guard, and the northern camp — before the cavalry closes your rear.","Zajmij wszystkie cztery obozy rzymskie — linię konsularną, Numidyjczyków Masynissy, straż tylną i obóz północny — zanim jazda zamknie ci tyły."
"Seize both Roman camps. The ambush is not finished until their flags come down.","Zajmij oba obozy rzymskie. Zasadzka nie jest skończona, dopóki nie opadną ich sztandary."
"Seize the Roman hill fort","Zajmij rzymski gród na wzgórzu"
"Seize the camp guarding Scipio's rear.","Zajmij obóz osłaniający tyły Scypiona."
"Seize the river town","Zajmij miasto nad rzeką"
"Seize the second Roman camp on the north-east road.","Zajmij drugi obóz rzymski przy drodze północno-wschodniej."
"Seize the second camp at the eastern end of the lake.","Zajmij drugi obóz na wschodnim krańcu jeziora."
"Seize the two river forts. Leave no crossing for Scipio's army to inherit.","Zajmij oba forty nad rzeką. Nie zostaw armii Scypiona żadnej przeprawy w spadku."
"Sempronius spends his army on the ice; you only have to still be standing.","Semproniusz przepuszcza armię na lodzie; tobie wystarczy jeszcze stać."
"Set builders on the slopes; the pass is paid for in materials, not blood.","Poślij budowniczych na stoki; za przełęcz płaci się materiałami, nie krwią."
"Sixty men and a shrine the local people will not walk past after dark. My orders say investigate. I would sooner burn it and write that we investigated, but the Senate reads.","Sześćdziesięciu ludzi i świątynia, obok której miejscowi po zmroku nie przechodzą. Rozkazy mówią: zbadać. Wolałbym ją spalić i napisać, że zbadaliśmy, ale Senat czyta."
"So the centre gave and the wings did not. That was well done, and I say so, and I was inside it. Rome has lost an army and a ring for every knight in it. Rome has not yet lost anything that matters.","A więc środek ustąpił, a skrzydła nie. To było dobrze zrobione, mówię to ja, a byłem w środku tego. Rzym stracił armię i pierścień za każdego jeźdźca w niej. Rzym nie stracił jeszcze niczego, co się liczy."
"So you came down the far side. Fewer, and on foot, and I am told you left the baggage up in the snow along with the men who were carrying it. Italy is waiting. Italy is not empty.","A więc zszedłeś drugą stroną. Mniej was, i pieszo, i mówią mi, że zostawiłeś tabor w śniegu razem z ludźmi, którzy go nieśli. Italia czeka. Italia nie jest pusta."
"So you have come down out of the rocks after all. Fewer than the count they gave me, and greyer. Well. The Ticinus is shallow, the ground beyond it is ours, and I have a great deal of time in which to be wrong about you.","A więc jednak zszedłeś ze skał. Mniej was, niż podawał rachunek, i bardziej siwi. No cóż. Ticinus jest płytki, ziemia za nim jest nasza, a ja mam mnóstwo czasu, by się co do ciebie mylić."
"So. The Barcid crawls down to the Rhone. Cross where you like - the river is not particular about whose bones it keeps, and Rome has a great deal of patience and a very great many shovels. My surveyors are already pacing out your grave. They tell me the ground here drinks well.","A więc Barkida schodzi do Rodanu. Przepraw się, gdzie chcesz — rzeka nie wybrzydza, czyje kości zatrzymuje, a Rzym ma mnóstwo cierpliwości i bardzo, bardzo wiele łopat. Moi mierniczy już wymierzają twój grób. Mówią, że ziemia tutaj dobrze pije."
"Spring the ambush and capture both Roman field camps within twenty minutes, before the mist lifts and a cohort escapes the basin.","Odpal zasadzkę i zdobądź oba rzymskie obozy polowe w ciągu dwudziestu minut, zanim mgła się podniesie i kohorta ucieknie z kotliny."
"Stand in the gate yard of the northern advance camp until it falls to Carthage.","Stój na dziedzińcu bramnym północnego obozu przedniego, aż przypadnie Kartaginie."
"Stand your ground. The last soldier alone is not a force — he is a sacrifice.","Trzymaj się. Ostatni żołnierz w pojedynkę nie jest siłą — jest ofiarą."
"Strike now. Close the western route and split their line.","Uderz teraz. Zamknij zachodnią trasę i rozłam ich linię."
"Supply is a target - and it cuts both ways. Your market and your homes are what the Romans are actually marching at, and their siege camp keeps its own stockpile within reach of a raid.","Zaopatrzenie jest celem — i tnie w obie strony. To twój targ i twoje domy są tym, na co naprawdę maszerują Rzymianie, a ich obóz oblężniczy trzyma własny skład w zasięgu wypadu."
"Take Scipio's town","Zdobądź miasto Scypiona"
"Take the Numidian camp","Zdobądź obóz numidyjski"
"Take the Roman marching town at the head of the lakeside road.","Zdobądź rzymskie miasto marszowe u wylotu drogi nad jeziorem."
"Take the allied camp","Zdobądź obóz sprzymierzeńców"
"Take the bridge camp and the eastern reserve quarter before the Roman scouts vanish into the fog.","Zdobądź obóz mostowy i wschodnią dzielnicę odwodów, zanim rzymscy zwiadowcy znikną we mgle."
"Take the consular town","Zdobądź miasto konsularne"
"Take the crossings, then. Take the whole cold length of the road north and every stone laid on it. Rome does not lose provinces - she lends them, at interest, and I am told the collectors on this road wear no faces at all.","A więc bierz przeprawy. Bierz całą zimną długość drogi na północ i każdy kamień na niej położony. Rzym nie traci prowincji — pożycza je, na procent, a mówią mi, że poborcy na tej drodze nie mają twarzy w ogóle."
"Take the cursed shrine above the sepulcher ruins and hold what you take: clear the guardians out of the ruins, then drive the dead off the shrine itself.","Zdobądź przeklętą świątynię nad ruinami grobowca i utrzymaj, co zdobyłeś: wyczyść strażników z ruin, a potem wypędź umarłych z samej świątyni."
"Take the first pass quickly before the next ambush line assembles.","Zdobądź pierwszą przełęcz szybko, zanim uformuje się kolejna linia zasadzki."
"Take the northern camp","Zdobądź obóz północny"
"Take the rearguard camp","Zdobądź obóz straży tylnej"
"Take the reserve camp","Zdobądź obóz odwodowy"
"Take the river camp","Zdobądź obóz nad rzeką"
"Take the second camp on the southern supply road.","Zdobądź drugi obóz przy południowej drodze zaopatrzeniowej."
"Take the shore camp","Zdobądź obóz nadbrzeżny"
"Taking the rear first denies the cavalry a place to rally.","Zdobycie tyłów najpierw odbiera jeździe miejsce zbiórki."
"The Campanian Vigil","Kampańska warta"
"The Roman column enters the corridor. Wait for full commitment.","Rzymska kolumna wchodzi w korytarz. Poczekaj, aż wejdzie cała."
"The Roman column walks into a geographical trap and is destroyed by converging attacks while the lakeside Sepulcher altar remains an optional horror.","Rzymska kolumna wchodzi w pułapkę terenu i zostaje zniszczona zbieżnymi uderzeniami, a ołtarz Grobowca nad jeziorem pozostaje opcjonalną grozą."
"The Roman villages are heavily defended. Coordinate your attacks!","Wioski rzymskie są mocno bronione. Zgraj swoje uderzenia!"
"The Romans are baited into the winter river and punished by Mago's concealed force, then the defense becomes an assault on a complete winter camp.","Rzymianie zostają zwabieni w zimową rzekę i ukarani przez ukryte siły Magona, a potem obrona zmienia się w szturm na kompletny obóz zimowy."
"The Timber Levy","Pobór drewna"
"The centre gives way once the wings are wrapped around it.","Środek ustępuje, gdy skrzydła się wokół niego zamkną."
"The centre is the strongest camp; bring the elephants up first.","Środek to najsilniejszy obóz; podprowadź najpierw słonie."
"The commander falls and the line behind him is just men standing in a dry riverbed.","Dowódca pada, a linia za nim to już tylko ludzie stojący w wyschniętym korycie."
"The commander falls — and every line collapses behind him.","Dowódca pada — i każda linia za nim się zawala."
"The commander falls — the vigil ends. And the dead keep walking.","Dowódca pada — warta się kończy. A umarli idą dalej."
"The crew is gone and the officer is standing in a clearing with an axe. That is not a work party.","Ekipy nie ma, a oficer stoi na polanie z siekierą. To już nie jest oddział roboczy."
"The crossing is a running battle against terrain, local resistance, and Roman influence. Sepulcher grave-lights remain a dangerous side path rather than the campaign's main enemy.","Przeprawa to ruchoma walka z terenem, miejscowym oporem i wpływami Rzymu. Grobowe światła pozostają niebezpieczną ścieżką poboczną, a nie głównym wrogiem kampanii."
