"source","translation_es_ES"
"Crossing the Alps","El paso de los Alpes"
"Crossing the Rhône","El paso del Ródano"
"Crush all three Roman camps and seal the iron tomb shut. No escape.","Aplasta los tres campamentos romanos y sella la tumba de hierro. Sin escapatoria."
"Crush both Roman breakout columns before they claw through the hillside.","Aplasta ambas columnas romanas de ruptura antes de que se abran paso por la ladera."
"Cut timber for the sledges, break stone for the road, and draw iron for the shoes and axles. The column crosses on what your builders can carry.","Tala madera para los trineos, parte piedra para el camino y saca hierro para las herraduras y los ejes. La columna cruza con lo que tus constructores puedan cargar."
"December 218 BC: Hannibal provoked Tiberius Sempronius Longus into crossing the cold Trebia before breakfast. Carthaginian infantry, cavalry, elephants, and Mago's hidden detachment struck the exhausted Roman army from front, flanks, and rear.","Diciembre del 218 a. C.: Aníbal provocó a Tiberio Sempronio Longo para que cruzara el gélido Trebia antes de desayunar. La infantería cartaginesa, la caballería, los elefantes y el destacamento oculto de Magón golpearon al agotado ejército romano de frente, por los flancos y por la retaguardia."
"Defend Hannibal's fortified Campanian supply town and break all three coordinated Roman assaults arriving from separate consular roads.","Defiende la villa de suministros campana fortificada de Aníbal y quiebra los tres asaltos romanos coordinados que llegan por vías consulares distintas."
"Drive the dead from the shrine. Salt the earth where they stood.","Expulsa a los muertos del santuario. Siembra de sal la tierra donde estuvieron."
"Eighty thousand. I would rather you heard the number than saw it, because seeing it takes most of a morning. Varro has the command today, and Varro believes in going forward. Stand wherever you like.","Ochenta mil. Prefiero que oigas la cifra a que la veas, porque verla lleva casi toda una mañana. Hoy manda Varrón, y Varrón cree en avanzar. Colócate donde te plazca."
"Endure both waves from the depths. Do not flinch when the ground tears open.","Resiste ambas oleadas surgidas de las profundidades. No retrocedas cuando la tierra se abra."
"Every soldier lost is counted by the enemy tonight.","Cada soldado perdido lo cuenta el enemigo esta noche."
"Execute the encirclement, then seize all three Roman camps before their reserves can restore the line.","Ejecuta el envolvimiento y toma después los tres campamentos romanos antes de que sus reservas puedan restablecer la línea."
"Fifteen thousand in the shallows, and the augurs will say the sacred chickens warned us. Kill a consul and Rome elects another by market day. That is the trick of us: we are not a man.","Quince mil en los bajíos, y los augures dirán que las gallinas sagradas nos avisaron. Mata a un cónsul y Roma elige otro para el día de mercado. Ése es nuestro truco: no somos un hombre."
"Final battle in Africa: blunt Scipio's line, survive the Numidian cavalry, and seize all four Roman camps while breaking both risings of the dead.","Batalla final en África: desactiva la línea de Escipión, sobrevive a la caballería númida y toma los cuatro campamentos romanos mientras quiebras ambos alzamientos de los muertos."
"Fine. Sempronius rides to Rome to explain his morning. Half a legion walked out of that water and kept walking, and they will meet you again in the spring with dry feet and long memories.","Bien. Sempronio cabalga a Roma a explicar su mañana. Media legión salió de aquellas aguas y siguió caminando, y volverá a encontrarte en primavera con los pies secos y la memoria larga."
"First battle on Italian soil. Win the cavalry duel, then seize the Roman reserve camp before fresh reinforcements regroup.","Primera batalla en suelo itálico. Gana el duelo de caballería y toma después el campamento de reserva romano antes de que se reagrupen refuerzos frescos."
"Hannibal falls, and the allied towns abandon the field.","Aníbal cae, y las ciudades aliadas abandonan el campo."
"Hannibal's first Italian victory is a test of tempo and cavalry control. Ford-shades complicate the flanks but do not replace the Roman enemy.","La primera victoria itálica de Aníbal es una prueba de ritmo y de control de la caballería. Las sombras del vado complican los flancos, pero no sustituyen al enemigo romano."
"Hannibal's masterpiece becomes a prolonged operational battle, not a single frontal collision.","La obra maestra de Aníbal se convierte en una batalla operacional prolongada, no en un único choque frontal."
"Hold the field, then. My horse is dead, my son is dragging me off it by the arm, and I find I can still count. You have won a ford. Italy is nine hundred miles long.","Quédate con el campo, pues. Mi caballo ha muerto, mi hijo me arrastra de él por el brazo, y descubro que aún sé contar. Has ganado un vado. Italia mide novecientas millas."
"Hold the river line and break all three Roman crossings. Let the cold and the water do the work Sempronius will not.","Mantén la línea del río y quiebra los tres vados romanos. Deja que el frío y el agua hagan el trabajo que Sempronio no hará."
"Hold the ruins. Force the Romans to fight on two grounds at once.","Mantén las ruinas. Obliga a los romanos a combatir en dos terrenos a la vez."
"Hold the southern bank through all three crossings. Sempronius spends his army on the ice; you have only to still be standing.","Mantén la orilla meridional durante los tres vados. Sempronio gasta su ejército en el hielo; a ti solo te toca seguir en pie."
"If the central camp falls, the Campanian alliance dies with it.","Si cae el campamento central, la alianza campana muere con él."
"Investigate the cursed shrine, survive the awakening, and clear the ruins.","Investiga el santuario maldito, sobrevive al despertar y despeja las ruinas."
"Iron Sepulcher Watch","Vigilia del Sepulcro de Hierro"
"It is finished. Carthage will have terms, and the terms will be her fleet burned in her own harbour where she can watch it. You were the better general. It has not turned out to matter.","Se acabó. Cartago tendrá condiciones, y la condición será su flota ardiendo en su propio puerto, donde pueda verla. Fuiste el mejor general. Ha resultado no importar."
"Keep Capua, then. I shall come back after the harvest, and after the one following it. I have buried three consuls who were in a hurry. Patience is cheaper, and it does not require a triumph.","Quédate con Capua, pues. Volveré después de la cosecha, y después de la siguiente. He enterrado a tres cónsules que tenían prisa. La paciencia sale más barata y no exige triunfo."
"Lose the river camp and the cold takes what the Romans couldn't.","Pierde el campamento del río y el frío se llevará lo que los romanos no pudieron."
"Lose the supply camp and the army starves before it reaches the snow line.","Pierde el campamento de suministros y el ejército morirá de hambre antes de alcanzar la línea de nieve."
"Lose your camp and the tempo dies with it.","Pierde tu campamento y el ritmo morirá con él."
"Mist on a lake road. Flaminius holds that a column moves faster than an ambush can close, and he is a consul, so he must be right. Do enjoy the next hour. I shall be the one writing the account of it.","Niebla en el camino del lago. Flaminio sostiene que una columna avanza más rápido de lo que una emboscada puede cerrarse, y es cónsul, así que ha de tener razón. Disfruta de la próxima hora. Yo seré quien escriba el relato."
"No living formation remains to hold the gates.","No queda ninguna formación viva para sostener las puertas."
"Preserve the market and four homes: Campania is being defended for its people and supplies, not merely its walls.","Conserva el mercado y cuatro viviendas: Campania se defiende por su gente y sus suministros, no solo por sus murallas."
"Provision the column for the descent: harvest timber, stone and iron from the pass while the mountain tribes contest every switchback.","Aprovisiona la columna para el descenso: recoge madera, piedra y hierro del paso mientras las tribus de la montaña disputan cada revuelta."
"Raze every Roman post. Leave Scipio nothing to rally behind.","Arrasa todos los puestos romanos. No dejes a Escipión nada tras lo que reagruparse."
"Seal the road. Let no scout cross the Ticino alive.","Sella el camino. Que ningún explorador cruce vivo el Tesino."
"Seize all four Roman camps — the consular line, Masinissa's Numidians, the rear guard, and the northern camp — before the cavalry closes your rear.","Toma los cuatro campamentos romanos —la línea consular, los númidas de Masinisa, la retaguardia y el campamento septentrional— antes de que la caballería te cierre la espalda."
"Seize both Roman camps. The ambush is not finished until their flags come down.","Toma ambos campamentos romanos. La emboscada no termina hasta que caigan sus estandartes."
"Seize the two river forts. Leave no crossing for Scipio's army to inherit.","Toma los dos fuertes del río. No dejes ningún vado que el ejército de Escipión pueda heredar."
"Sixty men and a shrine the local people will not walk past after dark. My orders say investigate. I would sooner burn it and write that we investigated, but the Senate reads.","Sesenta hombres y un santuario junto al que los lugareños no pasan después del anochecer. Mis órdenes dicen investigar. Preferiría quemarlo y escribir que investigamos, pero el Senado lee."
"So the centre gave and the wings did not. That was well done, and I say so, and I was inside it. Rome has lost an army and a ring for every knight in it. Rome has not yet lost anything that matters.","Así que el centro cedió y las alas no. Estuvo bien hecho, y lo digo yo, que estaba dentro. Roma ha perdido un ejército y un anillo por cada caballero que había en él. Roma aún no ha perdido nada que importe."
"So you came down the far side. Fewer, and on foot, and I am told you left the baggage up in the snow along with the men who were carrying it. Italy is waiting. Italy is not empty.","Conque bajaste por la otra vertiente. Menos, y a pie, y me dicen que dejaste la impedimenta arriba en la nieve junto con los hombres que la llevaban. Italia espera. Italia no está vacía."
"So you have come down out of the rocks after all. Fewer than the count they gave me, and greyer. Well. The Ticinus is shallow, the ground beyond it is ours, and I have a great deal of time in which to be wrong about you.","Conque al fin has bajado de las rocas. Menos de los que me contaron, y más canoso. En fin. El Tesino es poco profundo, el terreno de más allá es nuestro, y me sobra tiempo para equivocarme contigo."
"So. The Barcid crawls down to the Rhone. Cross where you like - the river is not particular about whose bones it keeps, and Rome has a great deal of patience and a very great many shovels. My surveyors are already pacing out your grave. They tell me the ground here drinks well.","Conque el Bárcida baja arrastrándose hasta el Ródano. Cruza por donde quieras: al río no le importa de quién sean los huesos que se queda, y Roma tiene mucha paciencia y muchísimas palas. Mis agrimensores ya están midiendo tu tumba a pasos. Me dicen que la tierra de aquí bebe bien."
"Spring the ambush and capture both Roman field camps within twenty minutes, before the mist lifts and a cohort escapes the basin.","Desata la emboscada y captura ambos campamentos de campaña romanos en veinte minutos, antes de que la niebla se levante y una cohorte escape de la cuenca."
"Stand your ground. The last soldier alone is not a force — he is a sacrifice.","Mantén el terreno. El último soldado a solas no es una fuerza: es un sacrificio."
"Take the bridge camp and the eastern reserve quarter before the Roman scouts vanish into the fog.","Toma el campamento del puente y el barrio de reserva oriental antes de que los exploradores romanos se pierdan en la niebla."
"Take the crossings, then. Take the whole cold length of the road north and every stone laid on it. Rome does not lose provinces - she lends them, at interest, and I am told the collectors on this road wear no faces at all.","Toma los pasos, pues. Toma toda la fría longitud del camino del norte y cada piedra puesta en él. Roma no pierde provincias: las presta, con interés, y me dicen que los cobradores de este camino no tienen rostro alguno."
"The Campanian Vigil","La vigilia campana"
"The Roman column walks into a geographical trap and is destroyed by converging attacks while the lakeside Sepulcher altar remains an optional horror.","La columna romana entra en una trampa geográfica y es destruida por ataques convergentes, mientras el altar del Sepulcro junto al lago sigue siendo un horror opcional."
"The Romans are baited into the winter river and punished by Mago's concealed force, then the defense becomes an assault on a complete winter camp.","Se atrae a los romanos al río invernal y se les castiga con la fuerza oculta de Magón; después, la defensa se convierte en un asalto a un campamento de invierno completo."
"The commander falls — and every line collapses behind him.","El comandante cae, y todas las líneas se derrumban tras él."
"The commander falls — the vigil ends. And the dead keep walking.","El comandante cae y la vigilia termina. Y los muertos siguen caminando."
"The crossing is a running battle against terrain, local resistance, and Roman influence. Sepulcher grave-lights remain a dangerous side path rather than the campaign's main enemy.","El paso es una batalla continua contra el terreno, la resistencia local y la influencia romana. Las luces sepulcrales siguen siendo una senda lateral peligrosa, no el enemigo principal de la campaña."
"The final confrontation is Carthage against three coordinated Roman commands, until an Iron Sepulcher host attacks from the battlefield's neglected flank.","El enfrentamiento final es Cartago contra tres mandos romanos coordinados, hasta que una hueste del Sepulcro de Hierro ataca por el flanco descuidado del campo de batalla."
"The lights are out and the ground is quiet. Count them twice and burn what will burn. Whatever was in there stood here before Rome and will stand here after it. Tonight it simply has other business.","Las luces se han apagado y la tierra está en calma. Contadlos dos veces y quemad lo que arda. Lo que hubiera ahí dentro estaba aquí antes que Roma y seguirá aquí después. Esta noche, sencillamente, tiene otros asuntos."
"The mist lifted a little early for you. It happens. The lake will keep what it has been given, and the thing beneath the altar on the shore is not particular about whose it is.","La niebla se levantó un poco pronto para ti. Ocurre. El lago se quedará con lo que le han dado, y a la cosa que hay bajo el altar de la orilla no le importa de quién sea."
"The pass keeps them, then. A word of advice to whoever reads this: do not follow the lights on the snowfield. Whatever carries a lantern at that height stopped being a shepherd a long time ago.","El puerto se los queda, pues. Un consejo para quien lea esto: no sigas las luces del nevero. Lo que lleva un farol a esa altura dejó de ser pastor hace mucho tiempo."
"The river keeps whatever it is given. Your elephants went in and not all of them came out, and the Trebia is not a large river. Rome has never needed a large one.","El río se queda con cuanto se le da. Tus elefantes entraron y no todos salieron, y el Trebia no es un río grande. Roma nunca ha necesitado uno grande."
"The scouts are not coming back, then. Well - everyone begins somewhere, and you have begun by killing eleven men who were expecting their lunch. Rome will send someone who counts next time.","Conque los exploradores no vuelven. En fin: todos empiezan por algún sitio, y tú has empezado matando a once hombres que esperaban su almuerzo. La próxima vez Roma enviará a alguien que cuente."
"Then it holds a little longer. Go home to your Senate and tell them what a Roman looks like from close to. I shall be here in the spring, and the spring after that, and I am younger than you.","Entonces aguanta un poco más. Vuelve a tu Senado y cuéntales qué aspecto tiene un romano de cerca. Yo estaré aquí en primavera, y en la siguiente, y soy más joven que tú."
"There. No battle, no glory, no monument: a town with nothing left in it and a road with my army standing on it. They will call me the Delayer. Let them. Your dead will not care what I am called.","Ya está. Ni batalla, ni gloria, ni monumento: una ciudad sin nada dentro y un camino con mi ejército encima. Me llamarán el Contemporizador. Que lo hagan. A tus muertos no les importará cómo me llamen."
"There. Sit down in the mud with the others. They tell me the men who die on this road do not stay where they are put - that they rise about the third watch and go on marching north without their officers. Do continue. You are expected.","Ya está. Siéntate en el barro con los demás. Me dicen que los hombres que mueren en este camino no se quedan donde los ponen: que se levantan hacia la tercera vigilia y siguen marchando al norte sin sus oficiales. Continúa, por favor. Se te espera."
"There. That is what the river was for. Have your surgeons work quickly, and tell whatever is left of your baggage train that the road home goes back up the mountain.","Ya está. Para eso era el río. Que tus cirujanos trabajen deprisa, y dile a lo que quede de tu impedimenta que el camino a casa vuelve a subir la montaña."
"They are getting up again. Do not look at the faces; you will know some of them. Fall back to the road, keep walking, and do not stop to bury anything. It does not stay buried here.","Se están levantando otra vez. No mires las caras; reconocerás a algunos. Retroceded al camino, seguid andando y no os detengáis a enterrar nada. Aquí nada permanece enterrado."
"They tell me you have taken an army into the Alps in October, with elephants. I have stopped chasing you. The mountain is a more thorough officer than I am and it does not require pay.","Me dicen que has metido un ejército en los Alpes en octubre, con elefantes. He dejado de perseguirte. La montaña es un oficial más concienzudo que yo y no exige paga."
"Twenty minutes before the mist lifts. If a cohort clears the basin, Rome learns the shape of the trap.","Veinte minutos antes de que se levante la niebla. Si una cohorte sale de la cuenca, Roma conocerá la forma de la trampa."
"You bent us and we did not break, and that is the only sentence anyone will need. Gather your dead off the Aufidus. The river runs slow here; they will be a long time going by.","Nos doblaste y no nos quebramos, y ésa es la única frase que hará falta a nadie. Recoge a tus muertos del Áufido. Aquí el río corre lento; tardarán mucho en pasar."
"You have a walled town, an orchard, and a very great many mouths. I have the roads. I am not going to fight you. I am going to stand between you and every granary in Campania until winter explains my position better than I can.","Tú tienes una ciudad amurallada, un huerto y muchísimas bocas. Yo tengo los caminos. No pienso combatirte. Pienso interponerme entre ti y cada granero de Campania hasta que el invierno explique mi postura mejor que yo."
"You have the river town. My congratulations - you now own three hundred mouths, two wells, and a temple whose god has lately been asking after Carthage by name. Feed them. I shall come back in the spring and count what is left.","Tienes la ciudad del río. Mi enhorabuena: ahora posees trescientas bocas, dos pozos y un templo cuyo dios lleva un tiempo preguntando por Cartago por su nombre. Aliméntalos. Volveré en primavera y contaré lo que quede."
"You killed a consul. Good. Rome keeps forty more in cupboards in the city, and I promise you the ones still in the cupboards are worse. He will be missed - briefly, and only by his creditors.","Has matado a un cónsul. Bien. Roma guarda otros cuarenta en armarios de la ciudad, y te aseguro que los que siguen en los armarios son peores. Se le echará de menos: brevemente, y sólo sus acreedores."
"Your camp falls — the field goes with it.","Tu campamento cae, y el campo se va con él."
"Your command falls — and the wings fold inward.","Tu mando cae, y las alas se pliegan hacia dentro."
"ASSAULT I: infantry from north and south; cavalry raiders and engineers on the eastern consular road.","ASALTO I: infantería desde el norte y el sur; jinetes de saqueo e ingenieros en la vía consular oriental."
"ASSAULT II: the Roman horns answer one another. Rotate the reserve before all three roads close.","ASALTO II: los cuernos romanos se responden entre sí. Rota la reserva antes de que se cierren los tres caminos."
"ASSAULT III: siege engines and veteran cohorts. Hold every gate until the twentieth minute.","ASALTO III: máquinas de asedio y cohortes veteranas. Mantén todas las puertas hasta el minuto veinte."
"Another Roman wave is flanking from the southeast. Rotate quickly.","Otra oleada romana flanquea desde el sureste. Rota deprisa."
"Counterattack now. Break them while they are split by the river.","Contraataca ahora. Quiébralos mientras el río los tiene divididos."
"Final ridge ahead. Break the last camp to open the descent.","Última loma por delante. Quiebra el campamento final para abrir el descenso."
"Fix the Roman center in place. Keep both cavalry wings active.","Fija el centro romano en su sitio. Mantén activas ambas alas de caballería."
"Grave-lights move among the western orchards. The Iron Sepulcher is watching, but the legions remain the greater danger.","Luces sepulcrales se mueven entre los huertos occidentales. El Sepulcro de Hierro observa, pero las legiones siguen siendo el mayor peligro."
"Hold discipline. Let the Romans commit at the ford.","Mantén la disciplina. Deja que los romanos se comprometan en el vado."
"Navigate through the maze of hills and valleys. Watch for enemy patrols!","Atraviesa el laberinto de colinas y valles. ¡Atento a las patrullas enemigas!"
"One minute. Spend the reserve; save the camp.","Un minuto. Gasta la reserva; salva el campamento."
"Roman cavalry is attempting a breakout from the south. Intercept them.","La caballería romana intenta romper el cerco por el sur. Interceptadla."
"Roman cavalry screens the field. Punch through before reserves arrive.","La caballería romana cubre el campo. Ábrete paso antes de que lleguen las reservas."
"Roman cavalry waves intensify. Collapse one flank before the rear guard arrives.","Las oleadas de caballería romana se intensifican. Hunde un flanco antes de que llegue la retaguardia."
"Roman reinforcements are approaching from the eastern road.","Los refuerzos romanos se acercan por el camino oriental."
"Roman reserves are entering from the northern camp. Close the pocket faster.","Las reservas romanas entran desde el campamento septentrional. Cierra la bolsa más deprisa."
"Roman reserves are moving from the western bank.","Las reservas romanas se mueven desde la orilla occidental."
"Scipio extends the line. Keep your center steady and protect elephants from isolation.","Escipión extiende la línea. Mantén tu centro firme y evita que los elefantes queden aislados."
"Second pass defenders are reinforcing. Keep the column moving.","Los defensores del segundo paso se están reforzando. Mantén la columna en movimiento."
"Second-wave Roman cavalry is maneuvering for your rear. Rebalance your flanks.","La caballería romana de la segunda oleada maniobra hacia tu retaguardia. Reequilibra tus flancos."
"Strike now. Close the western route and split their line.","Golpea ahora. Cierra la ruta occidental y parte su línea."
"Take the first pass quickly before the next ambush line assembles.","Toma el primer paso rápidamente, antes de que se reúna la siguiente línea de emboscada."
"The Roman column enters the corridor. Wait for full commitment.","La columna romana entra en el corredor. Espera a que se comprometa del todo."
"The Roman villages are heavily defended. Coordinate your attacks!","Las aldeas romanas están fuertemente defendidas. ¡Coordina tus ataques!"
"Three Roman columns have entered the consular roads. The first coordinated assault arrives at 17:00.","Tres columnas romanas han entrado en las vías consulares. El primer asalto coordinado llega a las 17:00."
"Two bridges cross the Rhône. Choose your path wisely - you may need both routes!","Dos puentes cruzan el Ródano. Elige bien tu camino: ¡puede que necesites ambas rutas!"
"A camp is taken by standing in it, not by levelling it. Nine men cannot kill thirty-eight, but they can hold two gate yards long enough to claim them - and a Roman column without its commander stops being a column.","Un campamento se toma permaneciendo en él, no arrasándolo. Nueve hombres no pueden matar a treinta y ocho, pero sí pueden retener dos patios de puerta el tiempo suficiente para reclamarlos, y una columna romana sin su comandante deja de ser una columna."
"A nation stands on its commander. Kill him and the camps go quiet and unclaimed - which, against a twenty-minute clock, is the only version of this battle that finishes in time.","Una nación se sostiene sobre su comandante. Mátalo y los campamentos quedarán en silencio y sin reclamar, que, contra un reloj de veinte minutos, es la única versión de esta batalla que acaba a tiempo."
"An assault walks toward your camp but turns for whatever it can see. Bait it with something visible and it will take the ground you chose instead of the ground it wanted.","Un asalto camina hacia tu campamento, pero se desvía hacia lo que alcanza a ver. Atráelo con algo visible y tomará el terreno que tú elegiste en vez del que él quería."
"High ground doubles a bowman and hardens him against what shoots back. The ridge over the Roman camp is worth more than the extra squadron you would have spent the same minutes recruiting.","El terreno elevado duplica a un arquero y lo endurece frente a lo que le dispara. La loma sobre el campamento romano vale más que el escuadrón extra que habrías reclutado en esos mismos minutos."
"Iron bells answer beneath the south-western crossing. The Sepulcher is advancing on Carthage as well as Rome.","Campanas de hierro responden bajo el vado suroccidental. El Sepulcro avanza contra Cartago tanto como contra Roma."
"Kill every enemy commander. A nation dies with the man who leads it: its camps fall neutral, its works come down and its troops leave the field.","Mata a todos los comandantes enemigos. Una nación muere con el hombre que la dirige: sus campamentos quedan neutrales, sus obras caen y sus tropas abandonan el campo."
"Masinissa's Numidian horse is entering from the north-eastern road.","La caballería númida de Masinisa entra por el camino nororiental."
"Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number.","Aquí no se enseña nada nuevo. La loma, el cebo y la decapitación son cosas que ya sabes; Cannas solo pregunta si puedes ejecutar las tres a la vez contra cuatro veces tu número."
"Rear guard deployment detected across the southern wadi. This is the final phase.","Se ha detectado el despliegue de la retaguardia al otro lado de la rambla meridional. Esta es la fase final."
"Supply is a target - and it cuts both ways. Your market and your homes are what the Romans are actually marching at, and their siege camp keeps its own stockpile within reach of a raid.","El suministro es un objetivo, y la cosa corta por ambos lados. Tu mercado y tus viviendas son en realidad lo que buscan los romanos, y su campamento de asedio guarda su propia reserva al alcance de una incursión."
"The shrines you have walked past all campaign were never scenery. Zama reads back over every map behind it - and the Sepulcher has no commander to kill, so the one rule that has served you since Trasimene is the one rule that will not work here.","Los santuarios ante los que has pasado toda la campaña nunca fueron decorado. Zama relee todos los mapas que la preceden, y el Sepulcro no tiene comandante al que matar: la única regla que te ha servido desde Trasimeno es justo la que aquí no funcionará."
"Timber only counts once a builder unloads it at the camp. The richest stands are the furthest from the stockpile, so the mission is won on the length of the walk, not the swing of the axe.","La madera solo cuenta cuando un constructor la descarga en el campamento. Los mejores bosques son los más alejados de la reserva, así que la misión se gana por la longitud del trayecto, no por el golpe del hacha."
"A guided first field, paced by the player rather than the clock: the Roman raid waits until the recruit's army stands, and the enemy camp is small enough to fall to a first attack.","Un primer campo guiado, al ritmo del jugador y no del reloj: el asalto romano espera hasta que el ejército del recluta esté en pie, y el campamento enemigo es lo bastante pequeño para caer ante un primer ataque."
"Every system a first match asks for, in the order a new commander meets them: selection and orders, the resource loop from tree to yard, construction cost and placement, recruitment and the population that limits it, stances, the commander's aura and rally, camera, speed and objectives - then one small assault to put it all together.","Todos los sistemas que exige una primera partida, en el orden en que un nuevo comandante los encuentra: selección y órdenes, el ciclo de recursos del árbol al patio, coste y colocación de las construcciones, reclutamiento y la población que lo limita, posturas, el aura y la reunión del comandante, cámara, velocidad y objetivos; y después un pequeño asalto para juntarlo todo."
"Field Training","Instrucción de campaña"
"Kill the Roman commander and take the outpost. A nation dies with the man who leads it.","Mata al comandante romano y toma el puesto avanzado. Una nación muere con el hombre que la dirige."
"Learn to command before Rome comes looking for you: select and move troops, drive off a scouting party, put builders to work on timber, stone and ore, raise a Home, recruit an army, break a Roman raid, and take the enemy camp.","Aprende a mandar antes de que Roma venga a buscarte: selecciona y mueve tropas, ahuyenta a una partida de exploradores, pon a los constructores a trabajar la madera, la piedra y el mineral, levanta una casa, recluta un ejército, rechaza un asalto romano y toma el campamento enemigo."
"Your commander falls - and every line collapses behind him.","Tu comandante cae, y todas las líneas se derrumban tras él."
"A camp is taken by holding its yard, not by levelling it.","Un campamento se toma manteniendo su patio, no arrasándolo."
"A column without its commander stops being a column.","Una columna sin su comandante deja de ser una columna."
"Break the chiefs contesting the descent.","Rompe a los jefes que disputan el descenso."
"Break the consular line at its centre.","Rompe la línea consular por su centro."
"Break the siege camp once the assaults are spent.","Rompe el campamento de asedio cuando los asaltos se hayan agotado."
"Break the three assault phases","Romper las tres fases de asalto"
"Break the three crossings","Romper los tres cruces"
"Bring the column to the first pass","Llevar la columna al primer paso"
"Bring the column to the pontoon bridge on the near bank.","Lleva la columna al puente de pontones de la orilla cercana."
"Cavalry reaches it first; hold the yard until the standard changes.","La caballería llega primero; mantén el patio hasta que cambie el estandarte."
"Close the encirclement on the Aufidus camp to the north.","Cierra el cerco sobre el campamento del Áufido al norte."
"Close the trap on the column town","Cerrar la trampa sobre la ciudad de la columna"
"Cut the stores for the road","Reunir los materiales para el camino"
"End the war with the men who lead it.","Termina la guerra con los hombres que la dirigen."
"Enemy camps fall neutral once their commander is dead.","Los campamentos enemigos quedan neutrales en cuanto muere su comandante."
"Finish the consular officers on the field.","Acaba con los oficiales consulares en el campo."
"Finish the officers inside the ring.","Acaba con los oficiales dentro del cerco."
"Flaminius must not leave the shore.","Flaminio no debe abandonar la orilla."
"Follow the valley floor east; the mountain peoples hold the switchbacks above.","Sigue el fondo del valle hacia el este; los pueblos de la montaña dominan las revueltas de arriba."
"Hold the Punic quarter through every consular column.","Mantén el barrio púnico frente a cada columna consular."
"Hold the gate yard of Scipio's forward town.","Mantén el patio de la puerta de la ciudad avanzada de Escipión."
"Hold the southern bank through every Roman assault phase.","Mantén la orilla sur durante cada fase de asalto romana."
"It is the closest camp to your hill; take it before the wings close.","Es el campamento más cercano a tu colina; tómalo antes de que se cierren las alas."
"It is the closest of the four camps to your line.","Es el más cercano a tu línea de los cuatro campamentos."
"Kill Sempronius and his officers","Matar a Sempronio y a sus oficiales"
"Kill the Roman commanders","Matar a los comandantes romanos"
"Kill the consular commanders","Matar a los comandantes consulares"
"Kill the mountain commanders","Matar a los jefes de la montaña"
"Move the army up to the lower pass camp before the snow closes it.","Sube el ejército al campamento del paso bajo antes de que la nieve lo cierre."
"Nothing on the shore road survives once both ends are held.","Nada en el camino de la orilla sobrevive cuando se dominan ambos extremos."
"Reach the Rhone crossing","Alcanzar el paso del Ródano"
"Ride down the commanders once the crossings break.","Arrolla a los comandantes en cuanto se rompan los cruces."
"Scipio inherits any crossing you leave behind.","Escipión hereda cualquier cruce que dejes atrás."
"Seize Masinissa's camp to finish the four.","Toma el campamento de Masinisa para completar los cuatro."
"Seize Varro's town at the centre of the Roman line.","Toma la ciudad de Varrón en el centro de la línea romana."
"Seize the Roman hill fort","Tomar el fuerte romano de la colina"
"Seize the camp guarding Scipio's rear.","Toma el campamento que guarda la retaguardia de Escipión."
"Seize the river town","Tomar la ciudad del río"
"Seize the second Roman camp on the north-east road.","Toma el segundo campamento romano en la ruta del noreste."
"Seize the second camp at the eastern end of the lake.","Toma el segundo campamento en el extremo oriental del lago."
"Sempronius spends his army on the ice; you only have to still be standing.","Sempronio gasta su ejército sobre el hielo; a ti solo te toca seguir en pie."
"Set builders on the slopes; the pass is paid for in materials, not blood.","Pon constructores en las laderas; el paso se paga con materiales, no con sangre."
"Stand in the gate yard of the northern advance camp until it falls to Carthage.","Permanece en el patio de la puerta del campamento avanzado del norte hasta que caiga en manos de Cartago."
"Take Scipio's town","Tomar la ciudad de Escipión"
"Take the Numidian camp","Tomar el campamento númida"
"Take the Roman marching town at the head of the lakeside road.","Toma la ciudad de marcha romana a la cabeza del camino del lago."
"Take the allied camp","Tomar el campamento aliado"
"Take the consular town","Tomar la ciudad consular"
"Take the northern camp","Tomar el campamento del norte"
"Take the rearguard camp","Tomar el campamento de retaguardia"
"Take the reserve camp","Tomar el campamento de reserva"
"Take the river camp","Tomar el campamento del río"
"Take the second camp on the southern supply road.","Toma el segundo campamento en la ruta de suministro del sur."
"Take the shore camp","Tomar el campamento de la orilla"
"Taking the rear first denies the cavalry a place to rally.","Tomar primero la retaguardia deja a la caballería sin punto de reunión."
"The centre gives way once the wings are wrapped around it.","El centro cede en cuanto las alas lo envuelven."
"The centre is the strongest camp; bring the elephants up first.","El centro es el campamento más fuerte; adelanta primero los elefantes."
"The dead of the Iron Sepulcher still contest the field; keep a reserve.","Los muertos del Sepulcro de Hierro aún disputan el campo; guarda una reserva."
"The last camp lies to the north-east, beyond the consular line.","El último campamento queda al noreste, más allá de la línea consular."
"The quarter holds when the last column is dead in the streets.","El barrio resiste cuando la última columna yace muerta en las calles."
"The reserve feeds the consular line; cut it and the line thins.","La reserva alimenta la línea consular; córtala y la línea se adelgaza."
"The river runs north to south across the middle of the valley; the nearest crossing is due east of camp.","El río corre de norte a sur por el centro del valle; el cruce más cercano queda justo al este del campamento."
"The road runs north-west along the shore; strike the head of the column first.","El camino corre al noroeste junto a la orilla; golpea primero la cabeza de la columna."
"The siege works stand to the east of the quarter.","Las obras de asedio están al este del barrio."
"The winter camp lies north across the river.","El campamento de invierno está al norte, al otro lado del río."
